_id,Title,Actors,Director,Box_office,Country,imdbRating,imdbID,Released,Rated,Language,Genre,Metascore,imdbVotes,Awards,Writer,Type,Poster,Runtime,Response
57073cbc71a06515609398f0,Inside Job,"Matt Damon, William Ackman, Daniel Alpert, Jonathan Alpert",Charles Ferguson,"4,311,834",USA,8.3,tt1645089,12 Nov 2010,PG-13,English,"Documentary, Crime",88,"53,574",Won 1 Oscar. Another 7 wins & 25 nominations.,"Charles Ferguson, Chad Beck, Adam Bolt",movie,http://ia.media-imdb.com/images/M/MV5BMTQ3MjkyODA2Nl5BMl5BanBnXkFtZTcwNzQxMTU4Mw@@._V1_SX300.jpg,105 min,True
57073cbc71a06515609398f1,Greenberg,"Greta Gerwig, Koby Rouviere, Sydney Rouviere, Chris Messina",Noah Baumbach,,USA,6.1,tt1234654,26 Mar 2010,R,English,"Comedy, Drama, Romance",76,"28,985",1 win & 14 nominations.,"Jennifer Jason Leigh (story, Noah Baumbach (story, Noah Baumbach (screenplay)",movie,http://ia.media-imdb.com/images/M/MV5BMTU4MzY4OTY0NF5BMl5BanBnXkFtZTcwOTc3OTQwMw@@._V1_SX300.jpg,107 min,True
57073cbc71a06515609398f2,Please Give,"Rebecca Hall, Elizabeth Keener, Elise Ivy, Catherine Keener",Nicole Holofcener,"4,033,268",USA,6.6,tt0878835,18 Jun 2010,R,English,"Comedy, Drama",78,"9,685",5 wins & 16 nominations.,Nicole Holofcener,movie,http://ia.media-imdb.com/images/M/MV5BNTczOTAxOTMyM15BMl5BanBnXkFtZTcwMTgyNTIyMw@@._V1_SX300.jpg,90 min,True
57073cbc71a06515609398f3,My Name Is Khan,"Shah Rukh Khan, Kajol, Katie A. Keane, Kenton Duty",Karan Johar,"4,018,695",India,8.0,tt1188996,12 Feb 2010,PG-13,"Hindi, Urdu, English","Adventure, Drama, Thriller",50,"65,161",9 wins & 11 nominations.,"Shibani Bathija (story, Shibani Bathija (dialogue, Niranjan Iyengar (dialogue)",movie,http://ia.media-imdb.com/images/M/MV5BMTUyMTA4NDYzMV5BMl5BanBnXkFtZTcwMjk5MzcxMw@@._V1_SX300.jpg,165 min,True
57073cbc71a06515609398f4,The Runaways,"Kristen Stewart, Dakota Fanning, Michael Shannon, Stella Maeve",Floria Sigismondi,"3,571,735",USA,6.6,tt1017451,19 Mar 2010,R,English,"Biography, Drama, Music",65,"38,284",5 nominations.,"Floria Sigismondi (screenplay, Cherie Currie (book)",movie,http://ia.media-imdb.com/images/M/MV5BMTI3Nzc2ODI4NV5BMl5BanBnXkFtZTcwMzkxNDMyMw@@._V1_SX300.jpg,106 min,True
57073cbc71a06515609398f5,Exit Through the Gift Shop,"Banksy, Mr. Brainwash, Debora Guetta, Space Invader",Banksy,"3,290,582",UK,8.0,tt1587707,14 May 2010,R,"English, French","Documentary, Comedy",85,"49,457",Nominated for 1 Oscar. Another 24 wins & 27 nominations.,N/A,movie,http://ia.media-imdb.com/images/M/MV5BMjE2NTg1NDM4Ml5BMl5BanBnXkFtZTcwMzMxOTkyMw@@._V1_SX300.jpg,87 min,True
57073cbc71a06515609398f6,You Will Meet a Tall Dark Stranger,"Gemma Jones, Pauline Collins, Anthony Hopkins, Rupert Frazer",Woody Allen,,"USA, Spain",6.3,tt1182350,22 Oct 2010,R,English,"Comedy, Drama, Romance",51,"35,142",2 wins & 2 nominations.,Woody Allen,movie,http://ia.media-imdb.com/images/M/MV5BMTkzOTI3MTE0OF5BMl5BanBnXkFtZTcwOTg3NDI3Mw@@._V1_SX300.jpg,98 min,True
57073cbc71a06515609398f7,Catfish,"Yaniv Schulman, Ariel Schulman, Henry Joost, Angela Wesselman-Pierce","Henry Joost, Ariel Schulman","3,234,373",USA,7.1,tt1584016,01 Oct 2010,PG-13,English,Documentary,65,"34,045",2 wins & 6 nominations.,N/A,movie,http://ia.media-imdb.com/images/M/MV5BNjgyNjI2NzIwNV5BMl5BanBnXkFtZTcwNzI3MTE3Mw@@._V1_SX300.jpg,87 min,True
57073cbc71a06515609398f8,Another Year,"Jim Broadbent, Ruth Sheen, Lesley Manville, Oliver Maltman",Mike Leigh,"3,205,244",UK,7.3,tt1431181,04 Feb 2011,PG-13,English,"Comedy, Drama",80,"23,236",Nominated for 1 Oscar. Another 19 wins & 52 nominations.,Mike Leigh,movie,http://ia.media-imdb.com/images/M/MV5BMTY5NzY5NTY2NF5BMl5BanBnXkFtZTcwNTg3NzIxNA@@._V1_SX300.jpg,129 min,True
57073cbc71a06515609398f9,Chloe,"Laura Davies, Scott Welsh",Michael William Edwards,,Australia,6.1,tt2023432,N/A,N/A,English,"Short, Drama",N/A,7,N/A,Michael William Edwards,movie,N/A,23 min,True
57073cbc71a06515609398fa,Joan Rivers: A Piece of Work,"Joan Rivers, Jocelyn Pickett, Bill Sammeth, Larry A. Thompson","Ricki Stern, Anne Sundberg","2,927,972",USA,7.4,tt1568150,02 Jul 2010,R,English,"Documentary, Biography, Comedy",79,"3,184",4 wins & 12 nominations.,Ricki Stern,movie,http://ia.media-imdb.com/images/M/MV5BMjI3MTc5MzAwMV5BMl5BanBnXkFtZTcwNzgzNzE1Mw@@._V1_SX300.jpg,84 min,True
57073cbc71a06515609398fb,Letters to God,"Lisa Curtis, Christopher Schmidt, Lyanna Tumaneng, Tanner Maguire","David Nixon, Patrick Doughtie","2,848,578",USA,6.2,tt1462054,09 Apr 2010,PG,English,"Drama, Family",31,"3,861",1 nomination.,"Patrick Doughtie (story, Art D'Alessandro, Sandra Thrift, Cullen Douglas",movie,http://ia.media-imdb.com/images/M/MV5BNzgyMDQ2MTc1Nl5BMl5BanBnXkFtZTcwOTM0NTYxMw@@._V1_SX300.jpg,110 min,True
57073cbc71a06515609398fc,Never Let Me Go,"Carey Mulligan, Andrew Garfield, Izzy Meikle-Small, Charlie Rowe",Mark Romanek,,"UK, USA",7.2,tt1334260,15 Oct 2010,R,English,"Drama, Romance, Sci-Fi",69,"106,212",7 wins & 26 nominations.,"Kazuo Ishiguro (novel, Alex Garland (screenplay)",movie,http://ia.media-imdb.com/images/M/MV5BMTM3NDQ1MjE2OF5BMl5BanBnXkFtZTcwNDIxNTk2Mw@@._V1_SX300.jpg,103 min,True
57073cbc71a06515609398fd,Rabbit Hole,"Nicole Kidman, Aaron Eckhart, Dianne Wiest, Miles Teller",John Cameron Mitchell,"2,221,809",USA,7.0,tt0935075,28 Jan 2011,PG-13,English,Drama,76,"39,948",Nominated for 1 Oscar. Another 6 wins & 39 nominations.,"David Lindsay-Abaire (screenplay, David Lindsay-Abaire (based on his play: \",movie,http://ia.media-imdb.com/images/M/MV5BMjEzOTU0NjMxNF5BMl5BanBnXkFtZTcwNzc5MDUxNA@@._V1_SX300.jpg,91 min,True
57073cbc71a06515609398fe,Stone,"Robert De Niro, Edward Norton, Milla Jovovich, Frances Conroy",John Curran,"1,796,024",USA,5.4,tt1423995,22 Oct 2010,R,English,"Drama, Thriller",58,"34,425",N/A,Angus MacLachlan,movie,http://ia.media-imdb.com/images/M/MV5BMTgxOTk4MDIyOF5BMl5BanBnXkFtZTcwMzI3Nzc3Mw@@._V1_SX300.jpg,105 min,True
57073cbc71a06515609398ff,Somewhere,"Stephen Dorff, Chris Pontius, Erin Wasson, Alexandra Williams",Sofia Coppola,"1,768,416","USA, UK, Italy, Japan",6.4,tt1421051,21 Jan 2011,R,"English, Italian","Comedy, Drama",67,"35,141",4 wins & 7 nominations.,Sofia Coppola,movie,http://ia.media-imdb.com/images/M/MV5BMTg1MzE1NDA0M15BMl5BanBnXkFtZTcwODM2MDY1Mw@@._V1_SX300.jpg,97 min,True
57073cbc71a0651560939900,Flipped,"Madeline Carroll, Callan McAuliffe, Rebecca De Mornay, Anthony Edwards",Rob Reiner,"1,752,214",USA,7.7,tt0817177,10 Sep 2010,PG,English,"Comedy, Drama, Romance",45,"57,690",1 win & 3 nominations.,"Rob Reiner (screenplay, Andrew Scheinman (screenplay, Wendelin Van Draanen (novel)",movie,http://ia.media-imdb.com/images/M/MV5BMTU2NjQ1Nzc4MF5BMl5BanBnXkFtZTcwNTM0NDk1Mw@@._V1_SX300.jpg,90 min,True
57073cbc71a0651560939901,Kites,"Hrithik Roshan, Bárbara Mori, Steven Michael Quezada, Kangana Ranaut",Anurag Basu,"1,602,466",India,6.0,tt1198101,21 May 2010,N/A,"English, Hindi, Spanish","Action, Drama, Romance",62,"9,370",N/A,"Anurag Basu (screenplay, Robin Bhatt (screenplay, Sanjeev Dutta (dialogue, Akarsh Khurana (additional English dialogue, Akarsh Khurana (screenplay, Rakesh Roshan (story)",movie,http://ia.media-imdb.com/images/M/MV5BMTUwNzY4Njc1N15BMl5BanBnXkFtZTcwNDExMTg0Mw@@._V1_SX300.jpg,123 min,True
57073cbc71a0651560939902,Raajneeti,"Naseeruddin Shah, Arjun Rampal, Nana Patekar, Ranbir Kapoor",Prakash Jha,,India,7.1,tt1291465,04 Jun 2010,N/A,"Hindi, English","Action, Crime, Drama",N/A,"10,341",1 win & 14 nominations.,"Prakash Jha, Anjum Rajabali, Sameer (lyrics)",movie,http://ia.media-imdb.com/images/M/MV5BMTkwMzE5NzE3Nl5BMl5BanBnXkFtZTcwMDMyODE1Mw@@._V1_SX300.jpg,163 min,True
57073cbc71a0651560939903,Among the Joneses,"Frank Rodrigues, Jim Murphy, Batia Parnass, Julian Hernandez",Farid Shams,,USA,N/A,tt1839405,01 Dec 2010,N/A,English,Comedy,N/A,N/A,N/A,N/A,movie,N/A,N/A,True
57073cbc71a0651560939904,Restrepo,"The Men of Battle Company 2nd of the 503rd Infantry Regiment 173rd Airborne Brigade Combat Team, Juan 'Doc Restrepo, Dan Kearney, LaMonta Caldwell","Tim Hetherington, Sebastian Junger","1,330,894",USA,7.6,tt1559549,06 Aug 2010,R,English,"Documentary, War",85,"16,751",Nominated for 1 Oscar. Another 10 wins & 18 nominations.,N/A,movie,http://ia.media-imdb.com/images/M/MV5BMjIwNDAxMTY4Ml5BMl5BanBnXkFtZTcwMTUyMTQ1Mw@@._V1_SX300.jpg,93 min,True
57073cbc71a0651560939905,Dabangg,"Salman Khan, Sonakshi Sinha, Vinod Khanna, Dimple Kapadia",Abhinav Kashyap,"1,258,932",India,6.3,tt1620719,10 Sep 2010,N/A,Hindi,"Action, Comedy, Crime",N/A,"19,388",18 wins & 8 nominations.,"Dilip Shukla, Abhinav Kashyap",movie,http://ia.media-imdb.com/images/M/MV5BMTMyOTQ0Mzg2Ml5BMl5BanBnXkFtZTcwMDcyOTM5NA@@._V1_SX300.jpg,126 min,True
57073cbc71a0651560939906,Au four et au moulin: les coulisses de Micmacs à Tire-Larigot,"Jean-Pierre Jeunet, Alain Carsoux, Aline Bonetto, Thierry Mauvoisin",Julien Lecat,,France,7.6,tt1634037,17 Mar 2010,N/A,French,Documentary,N/A,15,N/A,N/A,movie,N/A,47 min,True
57073cbc71a0651560939907,Housefull,"Akshay Kumar, Arjun Rampal, Deepika Padukone, Lara Dutta",Sajid Khan,"1,165,104",India,5.3,tt1573072,30 Apr 2010,N/A,"Hindi, Gujarati",Comedy,N/A,"8,048",5 wins & 11 nominations.,"Anvita Dutt Guptan (dialogues, Sajid Khan (screenplay, Sajid Nadiadwala (story, Sameer (lyrics, Vibha Singh (screenplay, Milap Zaveri (screenplay)",movie,http://ia.media-imdb.com/images/M/MV5BMjI0MDUxMTQwMV5BMl5BanBnXkFtZTcwNzIwMDkwNA@@._V1_SX300.jpg,144 min,True
57073cbc71a0651560939908,Golmaal 3,"Mithun Chakraborty, Ajay Devgn, Kareena Kapoor, Tusshar Kapoor",Rohit Shetty,"1,132,192",India,5.3,tt1562859,05 Nov 2010,N/A,Hindi,"Action, Comedy",N/A,"4,505",1 win & 6 nominations.,"Robin Bhatt (script consultant, Farhad (dialogue, Bunty Rathore (additional dialogue, Yunus Sajawal (screenplay, Sajid (dialogue)",movie,http://ia.media-imdb.com/images/M/MV5BMTllZDJhMTAtMjhmZi00MzBjLTljMmQtMmNlYTAwYmY0Y2Q0XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_SX300.jpg,N/A,True
57073cbc71a0651560939909,Made in Dagenham,"Sally Hawkins, Andrea Riseborough, Jaime Winstone, Lorraine Stanley",Nigel Cole,"1,094,798",UK,7.2,tt1371155,20 Sep 2010,R,English,"Biography, Comedy, Drama",65,"10,858",Nominated for 3 BAFTA Film Awards. Another 3 wins & 14 nominations.,William Ivory,movie,http://ia.media-imdb.com/images/M/MV5BMTgyNzU0NTczMl5BMl5BanBnXkFtZTcwNTMyMjAxNA@@._V1_SX300.jpg,113 min,True
57073cbc71a065156093990a,Tees Maar Khan,"Katrina Kaif, Salman Khan, Akshay Kumar, Anil Kapoor",Farah Khan,"1,076,266",India,2.5,tt1572311,24 Dec 2010,N/A,Hindi,"Action, Comedy, Crime",N/A,"7,929",3 wins & 2 nominations.,"Vishal Dadlani (lyrics, Anvita Dutt Guptan (lyrics, Ashmith Kunder (screenplay, Shirish Kunder (dialogue, Shirish Kunder (screenplay, Shirish Kunder (story)",movie,http://ia.media-imdb.com/images/M/MV5BNTk1NTM5NDYwNl5BMl5BanBnXkFtZTcwMDI2MTYxNA@@._V1_SX300.jpg,135 min,True
57073cbc71a065156093990b,Buried,"Ryan Reynolds, José Luis García Pérez, Robert Paterson, Stephen Tobolowsky",Rodrigo Cortés,"1,028,658","Spain, USA, France",7.0,tt1462758,15 Oct 2010,R,English,"Drama, Mystery, Thriller",65,"115,229",15 wins & 32 nominations.,Chris Sparling,movie,http://ia.media-imdb.com/images/M/MV5BMTg5MzU3OTIwOV5BMl5BanBnXkFtZTcwMzU3NzY3Mw@@._V1_SX300.jpg,95 min,True
57073cbc71a065156093990c,Animal Kingdom,"James Frecheville, Bryce Lindemann, Paul Smits, Jacki Weaver",David Michôd,"1,043,798",Australia,7.3,tt1313092,03 Jun 2010,R,English,"Crime, Drama, Thriller",83,"44,328",Nominated for 1 Oscar. Another 38 wins & 54 nominations.,David Michôd,movie,http://ia.media-imdb.com/images/M/MV5BMTQ2NjcwNjE4NV5BMl5BanBnXkFtZTcwNDU2NDg1Mw@@._V1_SX300.jpg,113 min,True
57073cbc71a065156093990d,Casino Jack,"Kevin Spacey, Ruth Marshall, Graham Greene, Hannah Endicott-Douglas",George Hickenlooper,"1,039,869",Canada,6.2,tt1194417,07 Jan 2011,R,English,"Biography, Comedy, Crime",51,"14,521",Nominated for 1 Golden Globe. Another 1 win & 1 nomination.,Norman Snider,movie,http://ia.media-imdb.com/images/M/MV5BMTM2NzQ4NDE2M15BMl5BanBnXkFtZTcwNDM0NzcwNA@@._V1_SX300.jpg,108 min,True
57073cbc71a065156093990e,Guzaarish,"Hrithik Roshan, Aishwarya Rai Bachchan, Shernaz Patel, Aditya Roy Kapoor",Sanjay Leela Bhansali,"1,017,335",India,7.5,tt1438298,19 Nov 2010,N/A,"Hindi, English","Comedy, Drama, Romance",N/A,"10,218",3 wins & 11 nominations.,"Sanjay Leela Bhansali (screenplay, Bhavani Iyer (dialogue, Bhavani Iyer (screenplay, Vibhu Puri (dialogue, Turaz (lyrics)",movie,http://ia.media-imdb.com/images/M/MV5BMTMzMzIzOTQwOF5BMl5BanBnXkFtZTcwMTI2MTYxNA@@._V1_SX300.jpg,126 min,True
57073cbc71a065156093990f,The Wildest Dream,"Conrad Anker, Susan Robertson, Robert Macfarlane, Peter Gillman",Anthony Geffen,"873,594",USA,7.4,tt1509276,06 Aug 2010,PG,English,"Documentary, Adventure, Biography",57,"1,602",2 wins & 1 nomination.,"Mark MacKenzie (original author, Mark Halliley, Richard Bedser (additional writer, Kevin Maher (additional writer)",movie,http://ia.media-imdb.com/images/M/MV5BMTQ1MzY0OTAxNV5BMl5BanBnXkFtZTcwNTk2MDEzMw@@._V1_SX300.jpg,94 min,True
57073cbc71a0651560939910,Anjaana Anjaani,"Priyanka Chopra, Carl Marino, Ranbir Kapoor, Aubrey K. Miller",Siddharth Anand,"854,757",India,5.8,tt1499201,01 Oct 2010,N/A,Hindi,"Comedy, Drama, Musical",N/A,"3,882",1 win & 1 nomination.,"Mamta Anand (story, Siddharth Anand (dialogue, Siddharth Anand (screenplay, Vishal Dadlani (lyrics, Advaita Kala (screenplay, Kumaar (lyrics, Kausar Munir (lyrics)",movie,http://ia.media-imdb.com/images/M/MV5BZDA1NTIwMjEtMDczZi00Njk2LTk1MzgtMGRhNzJiODM2OWMzXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_SX300.jpg,151 min,True
57073cbc71a0651560939911,I Hate Luv Storys,"Imran Khan, Sonam Kapoor, Sammir Dattani, Samir Soni",Punit Malhotra,"847,993",India,5.6,tt1667838,02 Jul 2010,N/A,Hindi,"Comedy, Drama, Romance",N/A,"5,693",9 nominations.,"Vishal Dadlani (lyrics, Kumaar (lyrics, Punit Malhotra (story)",movie,http://ia.media-imdb.com/images/M/MV5BMTQ1NzMwOTAwNl5BMl5BanBnXkFtZTcwNTYzODU2Mw@@._V1_SX300.jpg,129 min,True
57073cbc71a0651560939912,What If...,"Kevin Sorbo, Kristy Swanson, John Ratzenberger, Debby Ryan",Dallas Jenkins,"814,906",USA,6.6,tt1468387,23 Apr 2010,PG,English,"Drama, Family, Fantasy",N/A,"1,790",1 win & 2 nominations.,"Chuck Konzelman, Andrea Gyertson Nasfell, Cary Solomon",movie,http://ia.media-imdb.com/images/M/MV5BMTY4OTcwNzI1MF5BMl5BanBnXkFtZTcwMzkzNTg4Mw@@._V1_SX300.jpg,111 min,True
57073cbc71a0651560939913,The Tillman Story,"Josh Brolin, Pat Tillman, Mary Tillman, Russell Baer",Amir Bar-Lev,"798,940",USA,7.8,tt1568334,23 Jan 2010,R,English,"Documentary, Biography, Mystery",86,"3,984",5 wins & 16 nominations.,"Amir Bar-Lev, Mark Monroe",movie,http://ia.media-imdb.com/images/M/MV5BMTg2NjA5OTA2OV5BMl5BanBnXkFtZTcwOTg4MDc1Mw@@._V1_SX300.jpg,94 min,True
57073cbc71a0651560939914,Peepli (Live),"Omkar Das Manikpuri, Raghuvir Yadav, Shalini Vatsa, Farrukh Jaffar","Anusha Rizvi, Mahmood Farooqui","754,836",India,7.5,tt1447508,13 Aug 2010,N/A,"Hindi, English","Comedy, Drama",69,"7,117",2 wins & 6 nominations.,"Bhadwai (lyrics, Swanand Kirkire (lyrics, Noon Meem Rashet (lyrics, Anusha Rizvi (screenplay, Gangaram Sakhet (lyrics, Sanjeev Sharma (lyrics)",movie,http://ia.media-imdb.com/images/M/MV5BMTgwMzEzNjYyNl5BMl5BanBnXkFtZTcwOTg1MDI3Mw@@._V1_SX300.jpg,95 min,True
57073cbc71a0651560939915,Middle Men,"Emily Bachinsky, Michelle Fish, Tiana Leonty, Matt Marshall",Matt Marshall,,Canada,5.6,tt1664697,N/A,N/A,English,"Action, Comedy, Crime",N/A,44,N/A,Matt Marshall,movie,N/A,82 min,True
57073cbc71a0651560939916,Raavan,"Abhishek Bachchan, Aishwarya Rai Bachchan, Govinda, 'Chiyaan' Vikram",Mani Ratnam,"705,504",India,5.4,tt1334470,18 Jun 2010,N/A,Hindi,"Action, Adventure, Crime",N/A,"3,307",2 nominations.,"Mani Ratnam (screenplay, Vijay Krishna Acharya (dialogue)",movie,http://ia.media-imdb.com/images/M/MV5BMTEwNzMzMzc0NDdeQTJeQWpwZ15BbWU3MDg4MDE4NTM@._V1_SX300.jpg,130 min,True
57073cbc71a0651560939917,The CONCERT,"Sheree Bynum, Victor Edwards, Simeon Henderson, Joseph C. Jackson II",Mark Harris,,USA,N/A,tt1805432,23 Aug 2010,N/A,English,Short,N/A,N/A,N/A,"Dion Strowhorn Sr. (story, Dion Strowhorn Sr.",movie,http://ia.media-imdb.com/images/M/MV5BMjEyNzgyNjQ3MV5BMl5BanBnXkFtZTcwNDM3MTk1NA@@._V1_SX300.jpg,12 min,True
57073cbc71a0651560939918,We Are Family,"Kareena Kapoor, Kajol, Arjun Rampal, Amrita Prakash",Siddharth Malhotra,"631,276","India, Australia",5.5,tt1428459,10 Sep 2010,N/A,Hindi,"Drama, Family",N/A,"2,068",1 win & 1 nomination.,Niranjan Iyengar (dialogue),movie,http://ia.media-imdb.com/images/M/MV5BMTk1NTE3ODc4Ml5BMl5BanBnXkFtZTcwMDIwNjM3Mw@@._V1_SX300.jpg,115 min,True
