_id,Response,Language,imdbVotes,Runtime,Released,Actors,Writer,Director,Country,Genre,Poster,imdbRating,Metascore,Box_office,Type,Rated,Awards,Title,imdbID
56fb882271a0651a3c24f7b3,True,"English, German, Hebrew, Spanish, Arabic, Nepali","639,399",115 min,12 Jun 1981,"Harrison Ford, Karen Allen, Paul Freeman, Ronald Lacey","Lawrence Kasdan (screenplay, George Lucas (story, Philip Kaufman (story)",Steven Spielberg,USA,"Action, Adventure",http://ia.media-imdb.com/images/M/MV5BMjA0ODEzMTc1Nl5BMl5BanBnXkFtZTcwODM2MjAxNA@@._V1_SX300.jpg,8.5,90,"242,374,454",movie,PG,Won 4 Oscars. Another 29 wins & 23 nominations.,Raiders of the Lost Ark,tt0082971
56fb882271a0651a3c24f7b4,True,English,"20,878",109 min,12 Feb 1982,"Katharine Hepburn, Henry Fonda, Jane Fonda, Doug McKeon","Ernest Thompson (screenplay, Ernest Thompson (based on his play)",Mark Rydell,"UK, USA",Drama,http://ia.media-imdb.com/images/M/MV5BNDg3MTIzMTYxNl5BMl5BanBnXkFtZTcwMjAxNzY0MQ@@._V1_SX300.jpg,7.7,N/A,"119,285,432",movie,PG,Won 3 Oscars. Another 11 wins & 23 nominations.,On Golden Pond,tt0082846
56fb882271a0651a3c24f7b5,True,English,"20,880",97 min,17 Jul 1981,"Dudley Moore, Liza Minnelli, John Gielgud, Geraldine Fitzgerald",Steve Gordon,Steve Gordon,USA,"Comedy, Romance",http://ia.media-imdb.com/images/M/MV5BMTI0OTI2Mjg2OF5BMl5BanBnXkFtZTYwNzk0NDI5._V1_SX300.jpg,6.9,N/A,"95,461,682",movie,PG,Won 2 Oscars. Another 9 wins & 6 nominations.,Arthur,tt0082031
56fb882271a0651a3c24f7b6,True,"English, Russian, Polish","46,715",106 min,26 Jun 1981,"Bill Murray, Harold Ramis, Warren Oates, P.J. Soles","Len Blum, Daniel Goldberg, Harold Ramis",Ivan Reitman,USA,"Action, Comedy, War",http://ia.media-imdb.com/images/M/MV5BMTQ3NzU2NjYyNF5BMl5BanBnXkFtZTgwMjg1MzQxMDE@._V1_SX300.jpg,6.9,N/A,"85,300,000",movie,R,N/A,Stripes,tt0083131
56fb882271a0651a3c24f7b7,True,"English, Cantonese, Japanese, Arabic","25,131",95 min,19 Jun 1981,"Burt Reynolds, Roger Moore, Farrah Fawcett, Dom DeLuise",Brock Yates,Hal Needham,"USA, Hong Kong","Action, Comedy, Sport",http://ia.media-imdb.com/images/M/MV5BMTMwNzYwMDg1NV5BMl5BanBnXkFtZTcwNzY2NjUxMQ@@._V1_SX300.jpg,6.1,N/A,"59,900,000",movie,PG,1 win & 2 nominations.,The Cannonball Run,tt0082136
56fb882271a0651a3c24f7b8,True,"English, French","39,224",125 min,09 Apr 1982,"Nicholas Farrell, Nigel Havers, Ian Charleson, Ben Cross",Colin Welland (original screenplay),Hugh Hudson,UK,"Biography, Drama, Sport",http://ia.media-imdb.com/images/M/MV5BMTk3MTE3Mzg4MV5BMl5BanBnXkFtZTcwOTY0NTM1Mg@@._V1_SX300.jpg,7.3,N/A,"58,800,000",movie,PG,Won 4 Oscars. Another 14 wins & 19 nominations.,Chariots of Fire,tt0082158
56fb882271a0651a3c24f7b9,True,"English, Greek, Italian","69,948",127 min,26 Jun 1981,"Roger Moore, Carole Bouquet, Topol, Lynn-Holly Johnson","Richard Maibaum (screenplay, Michael G. Wilson (screenplay)",John Glen,UK,"Action, Adventure, Thriller",http://ia.media-imdb.com/images/M/MV5BOTEwNzY5OTgyNl5BMl5BanBnXkFtZTcwMDAxNzczNA@@._V1_SX300.jpg,6.8,N/A,"62,300,000",movie,PG,Nominated for 1 Oscar. Another 2 wins & 4 nominations.,For Your Eyes Only,tt0082398
56fb882271a0651a3c24f7ba,True,English,"3,089",107 min,22 May 1981,"Alan Alda, Carol Burnett, Len Cariou, Sandy Dennis",Alan Alda,Alan Alda,USA,"Comedy, Drama",http://ia.media-imdb.com/images/M/MV5BMjAyNjEzNDE3M15BMl5BanBnXkFtZTcwNzcxODgyMQ@@._V1_SX300.jpg,7.2,N/A,,movie,PG,Nominated for 4 Golden Globes. Another 1 win & 1 nomination.,The Four Seasons,tt0082405
56fb882271a0651a3c24f7bb,True,English,"44,586",110 min,06 Nov 1981,"John Cleese, Sean Connery, Shelley Duvall, Katherine Helmond","Michael Palin, Terry Gilliam",Terry Gilliam,UK,"Adventure, Comedy, Fantasy",http://ia.media-imdb.com/images/M/MV5BMTg2MDYwMzM0NF5BMl5BanBnXkFtZTcwODI3MTQ5OQ@@._V1_SX300.jpg,7.0,N/A,"42,365,600",movie,PG,1 win & 8 nominations.,Time Bandits,tt0081633
56fb882271a0651a3c24f7bc,True,"English, Spanish","9,093",116 min,18 Dec 1981,"Paul Newman, Sally Field, Bob Balaban, Melinda Dillon",Kurt Luedtke,Sydney Pollack,USA,"Drama, Romance, Thriller",http://ia.media-imdb.com/images/M/MV5BMTQwMDg2NjI0MV5BMl5BanBnXkFtZTcwMTE0ODY0NA@@._V1_SX300.jpg,6.9,N/A,"40,700,000",movie,PG,Nominated for 3 Oscars. Another 3 wins & 5 nominations.,Absence of Malice,tt0081974
