_id,imdbRating,imdbID,Released,Awards,Rated,Director,Genre,imdbVotes,Runtime,Box_office,Poster,Response,Language,Type,Title,Metascore,Writer,Country,Actors
56fba52871a0651b4c774415,8.0,tt0095953,16 Dec 1988,Won 4 Oscars. Another 21 wins & 21 nominations.,R,Barry Levinson,Drama,"375,017",133 min,"172,825,435",http://ia.media-imdb.com/images/M/MV5BMTQ4NTA1NDU3NV5BMl5BanBnXkFtZTcwODUwMTU2NA@@._V1_SX300.jpg,True,"English, Italian",movie,Rain Man,65,"Barry Morrow (story, Ronald Bass (screenplay, Barry Morrow (screenplay)",USA,"Dustin Hoffman, Tom Cruise, Valeria Golino, Gerald R. Molen"
56fba52871a0651b4c774416,7.7,tt0096438,22 Jun 1988,Won 3 Oscars. Another 19 wins & 21 nominations.,PG,Robert Zemeckis,"Animation, Comedy, Crime","135,535",104 min,"154,222,492",http://ia.media-imdb.com/images/M/MV5BMTgxOTE1NjA0OV5BMl5BanBnXkFtZTcwODM3MTYxMQ@@._V1_SX300.jpg,True,English,movie,Who Framed Roger Rabbit,83,"Gary K. Wolf (novel, Jeffrey Price (screenplay, Peter S. Seaman (screenplay)",USA,"Bob Hoskins, Christopher Lloyd, Joanna Cassidy, Charles Fleischer"
56fba52871a0651b4c774417,6.9,tt0094898,29 Jun 1988,Nominated for 2 Oscars. Another 5 wins & 2 nominations.,R,John Landis,"Comedy, Romance","115,916",116 min,"128,152,301",http://ia.media-imdb.com/images/M/MV5BMTYyMzkxNjM5N15BMl5BanBnXkFtZTcwMzI2NTY0MQ@@._V1_SX300.jpg,True,English,movie,Coming to America,48,"Eddie Murphy (story, David Sheffield (screenplay, Barry W. Blaustein (screenplay)",USA,"Eddie Murphy, Arsenio Hall, James Earl Jones, John Amos"
56fba52871a0651b4c774418,7.3,tt0094737,03 Jun 1988,Nominated for 2 Oscars. Another 11 wins & 12 nominations.,PG,Penny Marshall,"Comedy, Drama, Fantasy","148,326",104 min,"114,968,774",http://ia.media-imdb.com/images/M/MV5BNDk0OTM1Mzk3M15BMl5BanBnXkFtZTgwNDg2NjIyMDE@._V1_SX300.jpg,True,English,movie,Big,72,"Gary Ross, Anne Spielberg",USA,"Tom Hanks, Elizabeth Perkins, Robert Loggia, John Heard"
56fba52871a0651b4c774419,6.0,tt0096320,09 Dec 1988,Nominated for 1 Golden Globe. Another 4 wins.,PG,Ivan Reitman,Comedy,"84,502",107 min,"111,936,400",http://ia.media-imdb.com/images/M/MV5BMTgwNzYwNTQ0OF5BMl5BanBnXkFtZTcwMzk1ODcxMQ@@._V1_SX300.jpg,True,English,movie,Twins,53,"William Davies, William Osborne, Timothy Harris, Herschel Weingrod",USA,"Arnold Schwarzenegger, Danny DeVito, Kelly Preston, Chloe Webb"
56fba52871a0651b4c77441a,5.5,tt0092493,25 May 1988,2 wins.,PG,John Cornell,"Action, Adventure, Comedy","43,130",108 min,"109,306,210",http://ia.media-imdb.com/images/M/MV5BMTgxOTg3NTM3OF5BMl5BanBnXkFtZTcwNjgwODgyMQ@@._V1_SX300.jpg,True,"English, Spanish, Japanese",movie,Crocodile Dundee II,N/A,"Paul Hogan (characters, Paul Hogan, Brett Hogan","Australia, USA","Paul Hogan, Linda Kozlowski, John Meillon, Ernie Dingo"
56fba52871a0651b4c77441b,8.2,tt0095016,20 Jul 1988,Nominated for 4 Oscars. Another 6 wins & 2 nominations.,R,John McTiernan,"Action, Thriller","571,201",131 min,"81,350,242",http://ia.media-imdb.com/images/M/MV5BMTY4ODM0OTc2M15BMl5BanBnXkFtZTcwNzE0MTk3OA@@._V1_SX300.jpg,True,"English, German, Italian",movie,Die Hard,70,"Roderick Thorp (novel, Jeb Stuart (screenplay, Steven E. de Souza (screenplay)",USA,"Bruce Willis, Bonnie Bedelia, Reginald VelJohnson, Paul Gleason"
56fba52871a0651b4c77441c,7.6,tt0095705,02 Dec 1988,N/A,PG-13,David Zucker,"Comedy, Crime","110,974",85 min,"78,041,829",http://ia.media-imdb.com/images/M/MV5BMTQwMDczODE4M15BMl5BanBnXkFtZTcwNTM1NDIyMQ@@._V1_SX300.jpg,True,English,movie,The Naked Gun: From the Files of Police Squad!,76,"Jerry Zucker, Jim Abrahams, David Zucker, Pat Proft, Jim Abrahams (television series: \",USA,"Leslie Nielsen, Priscilla Presley, Ricardo Montalban, George Kennedy"
56fba52871a0651b4c77441d,5.8,tt0094889,29 Jul 1988,Nominated for 1 Golden Globe. Another 5 wins & 4 nominations.,R,Roger Donaldson,"Comedy, Drama, Romance","58,734",104 min,"78,222,753",http://ia.media-imdb.com/images/M/MV5BMTkxMzk4OTMwOF5BMl5BanBnXkFtZTcwMzE3ODIyMQ@@._V1_SX300.jpg,True,"English, Spanish Sign Language",movie,Cocktail,12,Heywood Gould (screenplay),USA,"Tom Cruise, Bryan Brown, Elisabeth Shue, Lisa Banes"
56fba52871a0651b4c77441e,7.5,tt0094721,30 Mar 1988,Won 1 Oscar. Another 7 wins & 10 nominations.,PG,Tim Burton,"Comedy, Fantasy","181,489",92 min,"73,326,666",http://ia.media-imdb.com/images/M/MV5BMTUwODE3MDE0MV5BMl5BanBnXkFtZTgwNTk1MjI4MzE@._V1_SX300.jpg,True,English,movie,Beetlejuice,67,"Michael McDowell (story, Larry Wilson (story, Michael McDowell (screenplay, Warren Skaaren (screenplay)",USA,"Alec Baldwin, Geena Davis, Annie McEnroe, Maurice Page"
56fba52871a0651b4c77441f,6.7,tt0096463,21 Dec 1988,Won 1 Oscar. Another 8 wins & 16 nominations.,R,Mike Nichols,"Comedy, Drama, Romance","40,037",113 min,"64,000,000",http://ia.media-imdb.com/images/M/MV5BMTUzNjk1NzA4MF5BMl5BanBnXkFtZTYwNTkwODE5._V1_SX300.jpg,True,English,movie,Working Girl,73,Kevin Wade,USA,"Harrison Ford, Sigourney Weaver, Melanie Griffith, Alec Baldwin"
56fba52871a0651b4c774420,7.6,tt0095159,05 Aug 1988,Won 1 Oscar. Another 8 wins & 15 nominations.,R,"Charles Crichton, John Cleese","Comedy, Crime","106,034",108 min,"63,493,712",http://ia.media-imdb.com/images/M/MV5BMjE5OTIzODI4Nl5BMl5BanBnXkFtZTcwNDg3NzYzNA@@._V1_SX300.jpg,True,"English, Italian, Russian, French",movie,A Fish Called Wanda,80,"John Cleese (story, Charles Crichton (story, John Cleese","USA, UK","John Cleese, Jamie Lee Curtis, Kevin Kline, Michael Palin"
56fba52871a0651b4c774421,7.0,tt0096061,23 Nov 1988,Nominated for 1 Oscar. Another 1 win & 3 nominations.,PG-13,Richard Donner,"Comedy, Drama, Fantasy","60,139",101 min,"60,328,558",http://ia.media-imdb.com/images/M/MV5BNDExOTQxODQzMV5BMl5BanBnXkFtZTgwMDg1Njc1MzE@._V1_SX300.jpg,True,English,movie,Scrooged,38,"Mitch Glazer, Michael O'Donoghue, Charles Dickens (novel)",USA,"Bill Murray, Karen Allen, John Forsythe, John Glover"
56fba52871a0651b4c774422,7.3,tt0096446,20 May 1988,Nominated for 2 Oscars. Another 1 win & 9 nominations.,PG,Ron Howard,"Action, Adventure, Drama","79,101",126 min,"57,269,863",http://ia.media-imdb.com/images/M/MV5BMTk2MjIwODIwM15BMl5BanBnXkFtZTcwNjM1MTgyMQ@@._V1_SX300.jpg,True,English,movie,Willow,N/A,"George Lucas (story, Bob Dolman (screenplay)","USA, New Zealand, UK","Val Kilmer, Joanne Whalley, Warwick Davis, Jean Marsh"
56fba52871a0651b4c774423,6.8,tt0094715,13 Jan 1989,Nominated for 1 Oscar. Another 1 win & 5 nominations.,PG-13,Garry Marshall,"Comedy, Drama, Music","17,558",123 min,"57,041,866",http://ia.media-imdb.com/images/M/MV5BMTQ4MjA0NDcyN15BMl5BanBnXkFtZTgwNDgzOTgzMTE@._V1_SX300.jpg,True,English,movie,Beaches,N/A,"Iris Rainer (novel, Mary Agnes Donoghue (screenplay)",USA,"Bette Midler, Barbara Hershey, John Heard, Spalding Gray"
56fba52871a0651b4c774424,5.7,tt0095956,25 May 1988,2 wins & 5 nominations.,R,Peter MacDonald,"Action, Adventure, Thriller","88,939",102 min,"53,715,611",http://ia.media-imdb.com/images/M/MV5BMTM2ODg0OTQzNF5BMl5BanBnXkFtZTcwMDk2MDcyMQ@@._V1_SX300.jpg,True,"English, Russian",movie,Rambo III,36,"David Morrell (characters, Sylvester Stallone, Sheldon Lettich",USA,"Sylvester Stallone, Richard Crenna, Marc de Jonge, Kurtwood Smith"
56fba52871a0651b4c774425,6.7,tt0095776,18 Nov 1988,Nominated for 1 Golden Globe. Another 1 win & 2 nominations.,G,George Scribner,"Animation, Adventure, Family","31,306",74 min,"73,450,885",http://ia.media-imdb.com/images/M/MV5BMTU2MjYwODk0Ml5BMl5BanBnXkFtZTYwMjAxMTQ5._V1_SX300.jpg,True,English,movie,Oliver & Company,N/A,"Jim Cox (animation screenplay, Tim Disney (animation screenplay, James Mangold (animation screenplay, Vance Gerry (story, Mike Gabriel (story, Joe Ranft (story, Jim Mitchell (story, Chris Bailey (story, Kirk Wise (story, David Michener (story, Roger Allers (story, Gary Trousdale (story, Kevin Lima (story, Michael Cedeno (story, Peter Young (story, Leon Joosen (story, Charles Dickens (inspired by \",USA,"Joey Lawrence, Billy Joel, Cheech Marin, Richard Mulligan"
56fba52871a0651b4c774426,7.1,tt0094812,15 Jun 1988,Nominated for 1 Oscar. Another 7 wins & 4 nominations.,R,Ron Shelton,"Comedy, Romance, Sport","35,817",108 min,"50,888,729",http://ia.media-imdb.com/images/M/MV5BMTc2ODkyOTQ2M15BMl5BanBnXkFtZTcwNTQ2NjgyNA@@._V1_SX300.jpg,True,English,movie,Bull Durham,73,Ron Shelton,USA,"Kevin Costner, Susan Sarandon, Tim Robbins, Trey Wilson"
56fba52871a0651b4c774427,5.6,tt0095742,19 Aug 1988,2 wins & 9 nominations.,R,Renny Harlin,"Horror, Thriller","34,876",93 min,"49,369,900",http://ia.media-imdb.com/images/M/MV5BOTk1OTc4NDcyMl5BMl5BanBnXkFtZTYwNzUxOTI5._V1_SX300.jpg,True,English,movie,A Nightmare on Elm Street 4: The Dream Master,N/A,"Wes Craven (character, William Kotzwinkle (story, Brian Helgeland (story, Brian Helgeland (screenplay, Jim Wheat (screenplay, Ken Wheat (screenplay)",USA,"John Beckman, Kisha Brackel, Brooke Bundy, Wanda Bursey"
56fba52871a0651b4c774428,7.3,tt0095489,18 Nov 1988,2 nominations.,G,Don Bluth,"Animation, Adventure, Family","59,501",69 min,"48,092,846",http://ia.media-imdb.com/images/M/MV5BOTkyNjQ0MDA1OV5BMl5BanBnXkFtZTcwMDkyMTYyMQ@@._V1_SX300.jpg,True,English,movie,The Land Before Time,N/A,"Stu Krieger (screenplay, Judy Freudberg (story, Tony Geiss (story)","USA, Ireland","Judith Barsi, Pat Hingle, Gabriel Damon, Helen Shaver"
56fba52871a0651b4c774429,6.7,tt0094894,29 Apr 1988,1 win.,R,Dennis Hopper,"Action, Crime, Drama","18,523",120 min,"46,616,067",http://ia.media-imdb.com/images/M/MV5BMjI1Njg0MDUwMV5BMl5BanBnXkFtZTcwNzc2NjEzNA@@._V1_SX300.jpg,True,"English, Spanish",movie,Colors,66,"Michael Schiffer (screenplay, Michael Schiffer (story, Richard Di Lello (story)",USA,"Sean Penn, Robert Duvall, Maria Conchita Alonso, Randy Brooks"
56fba52871a0651b4c77442a,6.8,tt0096487,12 Aug 1988,1 win & 2 nominations.,R,Christopher Cain,"Action, Crime, Drama","41,345",107 min,"44,726,644",http://ia.media-imdb.com/images/M/MV5BMjEzMzIyMjM3NV5BMl5BanBnXkFtZTcwMjgxNDcxMQ@@._V1_SX300.jpg,True,English,movie,Young Guns,50,John Fusco,USA,"Emilio Estevez, Kiefer Sutherland, Lou Diamond Phillips, Charlie Sheen"
56fba52871a0651b4c77442b,6.6,tt0094746,25 Mar 1988,N/A,PG-13,Mike Nichols,"Comedy, Drama","11,914",106 min,"43,184,798",http://ia.media-imdb.com/images/M/MV5BMjAxNjUzNDI4M15BMl5BanBnXkFtZTcwMDkzOTUxMQ@@._V1_SX300.jpg,True,English,movie,Biloxi Blues,N/A,"Neil Simon (screenplay, Neil Simon (play)",USA,"Matthew Broderick, Christopher Walken, Matt Mulhern, Corey Parker"
56fba52871a0651b4c77442c,7.3,tt0095031,14 Dec 1988,Nominated for 1 Golden Globe. Another 1 win.,PG,Frank Oz,"Comedy, Crime","49,173",110 min,"42,039,085",http://ia.media-imdb.com/images/M/MV5BMTYyNDk2NDE0OV5BMl5BanBnXkFtZTcwNjQ0NzQzNA@@._V1_SX300.jpg,True,"English, French",movie,Dirty Rotten Scoundrels,68,"Dale Launer, Stanley Shapiro, Paul Henning",USA,"Steve Martin, Michael Caine, Glenne Headly, Anton Rodgers"
56fba52871a0651b4c77442d,6.6,tt0095253,17 Jun 1988,N/A,PG,Howard Deutch,Comedy,"27,477",91 min,"41,455,230",http://ia.media-imdb.com/images/M/MV5BMjE0NDQ2NjU0Ml5BMl5BanBnXkFtZTcwNzIyODQyMQ@@._V1_SX300.jpg,True,English,movie,The Great Outdoors,N/A,John Hughes,USA,"Dan Aykroyd, John Candy, Stephanie Faracy, Annette Bening"
56fba52871a0651b4c77442e,6.0,tt0096244,02 Dec 1988,Nominated for 1 Oscar. Another 2 wins & 2 nominations.,R,Robert Towne,"Crime, Drama, Romance","22,520",115 min,"41,292,551",http://ia.media-imdb.com/images/M/MV5BMjE0MzAyNTc1M15BMl5BanBnXkFtZTcwMTQwMjkxMQ@@._V1_SX300.jpg,True,"English, Spanish",movie,Tequila Sunrise,62,Robert Towne,USA,"Mel Gibson, Michelle Pfeiffer, Kurt Russell, Raul Julia"
56fba52871a0651b4c77442f,6.3,tt0094739,10 Jun 1988,1 win.,PG,Jim Abrahams,Comedy,"8,715",97 min,"40,150,487",http://ia.media-imdb.com/images/M/MV5BMjAxMzQwMDYxNl5BMl5BanBnXkFtZTYwMTQyMDc4._V1_SX300.jpg,True,"English, Italian",movie,Big Business,N/A,"Dori Pierson, Marc Reid Rubel",USA,"Bette Midler, Lily Tomlin, Fred Ward, Edward Herrmann"
56fba52871a0651b4c774430,7.6,tt0095631,20 Jul 1988,Nominated for 2 Golden Globes. Another 2 wins & 1 nomination.,R,Martin Brest,"Action, Comedy, Crime","52,562",126 min,"38,413,606",http://ia.media-imdb.com/images/M/MV5BMTg0MTg2NTgyM15BMl5BanBnXkFtZTcwMzI3ODMyMQ@@._V1_SX300.jpg,True,English,movie,Midnight Run,78,George Gallo,USA,"Robert De Niro, Charles Grodin, Yaphet Kotto, John Ashton"
56fba52871a0651b4c774431,6.3,tt0094963,13 Jul 1988,N/A,R,Buddy Van Horn,"Action, Crime, Mystery","30,060",91 min,"37,903,295",http://ia.media-imdb.com/images/M/MV5BMTAwODcyNzI3MTJeQTJeQWpwZ15BbWU3MDc3MDA1MTE@._V1_SX300.jpg,True,English,movie,The Dead Pool,46,"Harry Julian Fink (characters, Rita M. Fink (characters, Steve Sharon (story, Durk Pearson (story, Sandy Shaw (story, Steve Sharon (screenplay)",USA,"Clint Eastwood, Patricia Clarkson, Liam Neeson, Evan C. Kim"
56fba52871a0651b4c774432,6.0,tt0095963,17 Jun 1988,N/A,R,Walter Hill,"Action, Comedy, Crime","48,287",104 min,"34,994,648",http://ia.media-imdb.com/images/M/MV5BMTIwMDg4OTY5MV5BMl5BanBnXkFtZTcwNTk0MTcyMQ@@._V1_SX300.jpg,True,"English, Russian",movie,Red Heat,61,"Walter Hill (story, Harry Kleiner (screenplay, Walter Hill (screenplay, Troy Kennedy-Martin (screenplay)",USA,"Arnold Schwarzenegger, James Belushi, Peter Boyle, Ed O'Ross"
56fba52871a0651b4c774433,7.7,tt0094947,24 Feb 1989,Won 3 Oscars. Another 16 wins & 20 nominations.,R,Stephen Frears,"Drama, Romance","51,708",119 min,"34,700,000",http://ia.media-imdb.com/images/M/MV5BMTk5Mjk1MjEzOV5BMl5BanBnXkFtZTcwNzYzNDkxMQ@@._V1_SX300.jpg,True,English,movie,Dangerous Liaisons,74,"Christopher Hampton (play, Choderlos de Laclos (novel, Christopher Hampton (screenplay)","USA, UK","Glenn Close, John Malkovich, Michelle Pfeiffer, Swoosie Kurtz"
56fba52871a0651b4c774434,7.8,tt0095647,27 Jan 1989,Won 1 Oscar. Another 16 wins & 24 nominations.,R,Alan Parker,"Crime, Drama, Mystery","63,928",128 min,"34,603,943",http://ia.media-imdb.com/images/M/MV5BMTM3MzA2MjQwNl5BMl5BanBnXkFtZTcwNjkzNzA2NA@@._V1_SX300.jpg,True,English,movie,Mississippi Burning,65,Chris Gerolmo,USA,"Gene Hackman, Willem Dafoe, Frances McDormand, Brad Dourif"
56fba52871a0651b4c774435,6.5,tt0094862,09 Nov 1988,2 wins & 3 nominations.,R,Tom Holland,"Fantasy, Horror","59,770",87 min,"33,244,684",http://ia.media-imdb.com/images/M/MV5BMTg1MjQ5NDkyMV5BMl5BanBnXkFtZTcwMjkzNjEzNA@@._V1_SX300.jpg,True,English,movie,Child's Play,N/A,"Don Mancini (story, Don Mancini (screenplay, John Lafia (screenplay, Tom Holland (screenplay)",USA,"Catherine Hicks, Chris Sarandon, Alex Vincent, Brad Dourif"
56fba52871a0651b4c774436,6.8,tt0094606,06 Jan 1989,Won 1 Oscar. Another 3 wins & 10 nominations.,PG,Lawrence Kasdan,"Drama, Romance","12,006",121 min,"32,632,093",http://ia.media-imdb.com/images/M/MV5BMTUwMjU2NzQ3OF5BMl5BanBnXkFtZTcwOTI3OTk3MQ@@._V1_SX300.jpg,True,English,movie,The Accidental Tourist,53,"Anne Tyler (book, Frank Galati (screenplay, Lawrence Kasdan (screenplay)",USA,"William Hurt, Kathleen Turner, Geena Davis, Amy Wright"
56fba52871a0651b4c774437,7.1,tt0094608,14 Oct 1988,Won 1 Oscar. Another 5 wins & 5 nominations.,R,Jonathan Kaplan,"Crime, Drama","23,435",111 min,"32,069,318",http://ia.media-imdb.com/images/M/MV5BMTUyMzQ3NDExOF5BMl5BanBnXkFtZTcwNjAxMjAwMQ@@._V1_SX300.jpg,True,English,movie,The Accused,N/A,Tom Topor,"Canada, USA","Kelly McGillis, Jodie Foster, Bernie Coulson, Leo Rossi"
56fba52871a0651b4c774438,6.8,tt0096098,12 Feb 1988,N/A,R,Roger Spottiswoode,"Action, Adventure, Crime","9,140",110 min,"29,300,090",http://ia.media-imdb.com/images/M/MV5BMTgwNDgyMTc0N15BMl5BanBnXkFtZTcwMjAyMjUyMQ@@._V1_SX300.jpg,True,English,movie,Shoot to Kill,N/A,"Harv Zimmel (story, Harv Zimmel (screenplay, Michael Burton (screenplay, Daniel Petrie Jr. (screenplay)",USA,"Sidney Poitier, Tom Berenger, Kirstie Alley, Clancy Brown"
56fba52871a0651b4c774439,5.5,tt0095107,11 Nov 1988,N/A,PG,John R. Cherry III,"Comedy, Family, Fantasy","7,705",95 min,"28,202,109",http://ia.media-imdb.com/images/M/MV5BMTY0OTMwMTAxM15BMl5BanBnXkFtZTcwMjQwNTMyMQ@@._V1_SX300.jpg,True,English,movie,Ernest Saves Christmas,N/A,"Ed Turner (story, B. Kline (screenplay, Ed Turner (screenplay)",USA,"Jim Varney, Douglas Seale, Oliver Clark, Noelle Parker"
