_id,Type,Genre,Runtime,Response,Metascore,Released,Rated,Title,imdbVotes,Country,Awards,imdbRating,Box_office,Poster,Language,Actors,Director,Writer,imdbID
57070b7471a06507080fa44e,movie,"Comedy, Crime, Sport",113 min,True,48,27 May 2005,PG-13,The Longest Yard,"125,931",USA,2 wins & 17 nominations.,6.4,,http://ia.media-imdb.com/images/M/MV5BMTc1NTQyNDk2NV5BMl5BanBnXkFtZTcwOTE2OTQzMw@@._V1_SX300.jpg,English,"Adam Sandler, Chris Rock, Burt Reynolds, Nelly",Peter Segal,"Albert S. Ruddy (story, Tracy Keenan Wynn, Sheldon Turner (screenplay)",tt0398165
57070b7471a06507080fa44f,movie,"Animation, Adventure, Comedy",81 min,True,48,04 Nov 2005,G,Chicken Little,"61,067",USA,4 wins & 15 nominations.,5.8,"135,381,507",http://ia.media-imdb.com/images/M/MV5BMTcwMjMwNTA3MV5BMl5BanBnXkFtZTcwMjk4OTgyMQ@@._V1_SX300.jpg,English,"Zach Braff, Garry Marshall, Don Knotts, Patrick Stewart",Mark Dindal,"Mark Dindal (story, Mark Kennedy (story, Steve Bencich (screenplay, Ron J. Friedman (screenplay, Ron Anderson (screenplay, Robert L. Baird (additional story material, Daniel Gerson (additional story material, Sara Parriott (additional screenplay material, Josann McGibbon (additional screenplay material, David Reynolds (additional dialogue, Sandra Tsing Loh (additional dialogue)",tt0371606
57070b7471a06507080fa450,movie,"Animation, Adventure, Comedy",91 min,True,64,11 Mar 2005,PG,Robots,"99,647",USA,2 wins & 19 nominations.,6.3,"128,200,012",http://ia.media-imdb.com/images/M/MV5BNDYyNjY1NjY1M15BMl5BanBnXkFtZTcwNjk5MDczMw@@._V1_SX300.jpg,"English, Italian","Paula Abdul, Halle Berry, Lucille Bliss, Terry Bradshaw","Chris Wedge, Carlos Saldanha","Ron Mita (story, Jim McClain (story, David Lindsay-Abaire (story, David Lindsay-Abaire (screenplay, Lowell Ganz (screenplay, Babaloo Mandel (screenplay)",tt0358082
57070b7471a06507080fa451,movie,"Biography, Drama, Music",136 min,True,72,18 Nov 2005,PG-13,Walk the Line,"184,871","USA, Germany",Won 1 Oscar. Another 44 wins & 41 nominations.,7.9,"119,518,352",http://ia.media-imdb.com/images/M/MV5BMjIyOTU3MjUxOF5BMl5BanBnXkFtZTcwMTQ0NjYzMw@@._V1_SX300.jpg,"English, Russian","Joaquin Phoenix, Reese Witherspoon, Ginnifer Goodwin, Robert Patrick",James Mangold,"Johnny Cash (book, Johnny Cash (book, Gill Dennis, James Mangold",tt0358273
57070b7471a06507080fa452,movie,"Action, Comedy, Drama",95 min,True,30,04 Mar 2005,PG,The Pacifier,"63,545","Canada, USA",1 win & 10 nominations.,5.5,,http://ia.media-imdb.com/images/M/MV5BMTQ2MTYxNzM3M15BMl5BanBnXkFtZTcwNTEzNTgyMQ@@._V1_SX300.jpg,"English, Korean","Vin Diesel, Lauren Graham, Faith Ford, Brittany Snow",Adam Shankman,"Thomas Lennon, Robert Ben Garant",tt0395699
57070b7471a06507080fa453,movie,"Comedy, Crime",90 min,True,47,21 Dec 2005,PG-13,Fun with Dick and Jane,"108,571",USA,7 nominations.,6.1,"340,995",http://ia.media-imdb.com/images/M/MV5BMjE2NzE5MDI4NV5BMl5BanBnXkFtZTcwODYxOTYzMQ@@._V1_SX300.jpg,"English, Spanish","Jim Carrey, Téa Leoni, Alec Baldwin, Richard Jenkins",Dean Parisot,"Judd Apatow (screenplay, Nicholas Stoller (screenplay, Gerald Gaiser (story, Judd Apatow (story, Nicholas Stoller (story, Gerald Gaiser (novel, David Giler, Jerry Belson, Mordecai Richler",tt0369441
57070b7471a06507080fa454,movie,"Comedy, Romance",116 min,True,73,19 Aug 2005,R,The 40-Year-Old Virgin,"305,041",USA,10 wins & 18 nominations.,7.2,"1,488,024",http://ia.media-imdb.com/images/M/MV5BMTU5MzU2MzY2Nl5BMl5BanBnXkFtZTgwOTM4NzMxMDE@._V1_SX300.jpg,"English, Spanish","Steve Carell, Catherine Keener, Paul Rudd, Romany Malco",Judd Apatow,"Judd Apatow, Steve Carell",tt0405422
57070b7471a06507080fa455,movie,"Action, Drama, Mystery",98 min,True,53,23 Sep 2005,PG-13,Flightplan,"123,537",USA,2 wins & 6 nominations.,6.2,"89,706,988",http://ia.media-imdb.com/images/M/MV5BMTcwMzA4NDAyOF5BMl5BanBnXkFtZTcwOTQ0NjYyMw@@._V1_SX300.jpg,"English, French, German, Arabic, Italian, Japanese","Jodie Foster, Peter Sarsgaard, Sean Bean, Kate Beahan",Robert Schwentke,"Peter A. Dowling, Billy Ray",tt0408790
57070b7471a06507080fa456,movie,"Horror, Mystery",93 min,True,40,28 Oct 2005,R,Saw II,"183,546","USA, Canada",3 wins & 7 nominations.,6.6,"86,502",http://ia.media-imdb.com/images/M/MV5BMjEzNTAyMDk5NF5BMl5BanBnXkFtZTcwOTA3MTEzMQ@@._V1_SX300.jpg,English,"Tobin Bell, Shawnee Smith, Donnie Wahlberg, Erik Knudsen",Darren Lynn Bousman,"Leigh Whannell, Darren Lynn Bousman",tt0432348
57070b7471a06507080fa457,movie,"Drama, Romance",134 min,True,87,13 Jan 2006,R,Brokeback Mountain,"253,282","USA, Canada",Won 3 Oscars. Another 125 wins & 117 nominations.,7.7,"83,025,853",http://ia.media-imdb.com/images/M/MV5BMTY5NTAzNTc1NF5BMl5BanBnXkFtZTYwNDY4MDc3._V1_SX300.jpg,English,"Heath Ledger, Jake Gyllenhaal, Randy Quaid, Valerie Planche",Ang Lee,"Annie Proulx (short story, Larry McMurtry (screenplay, Diana Ossana (screenplay)",tt0388795
57070b7471a06507080fa458,movie,Comedy,101 min,True,31,13 May 2005,PG-13,Monster-in-Law,"42,002","Germany, USA",1 win & 10 nominations.,5.4,"1,307,593",http://ia.media-imdb.com/images/M/MV5BMTIyMTU0NDM1NF5BMl5BanBnXkFtZTcwODk3NzcyMQ@@._V1_SX300.jpg,English,"Jennifer Lopez, Jane Fonda, Michael Vartan, Wanda Sykes",Robert Luketic,Anya Kochoff,tt0369735
57070b7471a06507080fa459,movie,"Adventure, Comedy, Family",95 min,True,27,21 Jan 2005,PG,Are We There Yet?,"21,915","USA, Canada",1 win & 8 nominations.,4.5,"82,301,521",http://ia.media-imdb.com/images/M/MV5BMTcyMTcyNDIwOV5BMl5BanBnXkFtZTcwNDY1NzgyMQ@@._V1_SX300.jpg,English,"Ice Cube, Nia Long, Aleisha Allen, Philip Bolden",Brian Levant,"Steven Gary Banks (story, Claudia Grazioso (story, Steven Gary Banks (screenplay, Claudia Grazioso (screenplay, J. David Stem (screenplay, David N. Weiss (screenplay)",tt0368578
57070b7471a06507080fa45a,movie,"Adventure, Comedy, Family",94 min,True,34,21 Dec 2005,PG,Cheaper by the Dozen 2,"41,190","USA, Canada",1 win & 5 nominations.,5.4,"82,569,532",http://ia.media-imdb.com/images/M/MV5BMTYyMDczMDQ4NV5BMl5BanBnXkFtZTcwMjA3NzIzMQ@@._V1_SX300.jpg,English,"Steve Martin, Eugene Levy, Bonnie Hunt, Tom Welling",Adam Shankman,"Sam Harper, Craig Titley (characters, Frank B. Gilbreth Jr. (novel, Ernestine Gilbreth Carey (novel)",tt0452598
57070b7471a06507080fa45b,movie,"Action, Adventure, Comedy",104 min,True,33,05 Aug 2005,PG-13,The Dukes of Hazzard,"65,364","USA, Australia",5 wins & 14 nominations.,5.1,"80,270,227",http://ia.media-imdb.com/images/M/MV5BMjAwOTYxODI4OV5BMl5BanBnXkFtZTcwNDYxODIzMw@@._V1_SX300.jpg,English,"Johnny Knoxville, Seann William Scott, Alice Greczyn, Steve Lemme",Jay Chandrasekhar,"John O'Brien (screenplay, John O'Brien (story, Jonathan L. Davis (story, Gy Waldron (characters)",tt0377818
57070b7471a06507080fa45c,movie,Documentary,80 min,True,79,22 Jul 2005,G,March of the Penguins,"43,857",France,Won 1 Oscar. Another 21 wins & 15 nominations.,7.7,"378,316",http://ia.media-imdb.com/images/M/MV5BMTM1NDc5MDYxMl5BMl5BanBnXkFtZTcwMjMzNDAzMQ@@._V1_SX300.jpg,"French, English","Charles Berling, Romane Bohringer, Jules Sitruk, Morgan Freeman",Luc Jacquet,"Luc Jacquet (scenario, Luc Jacquet (adaptation, Michel Fessler (adaptation, Jordan Roberts (narration: US edited version)",tt0428803
57070b7471a06507080fa45d,movie,"Horror, Mystery, Sci-Fi",110 min,True,44,18 Mar 2005,PG-13,The Ring Two,"68,923",USA,2 wins & 11 nominations.,5.4,"75,888,270",http://ia.media-imdb.com/images/M/MV5BMTY2ODc2NTQ2OF5BMl5BanBnXkFtZTYwNzA4OTU3._V1_SX300.jpg,English,"Naomi Watts, Simon Baker, David Dorfman, Elizabeth Perkins",Hideo Nakata,"Ehren Kruger, Kôji Suzuki (novel, Hiroshi Takahashi",tt0377109
57070b7471a06507080fa45e,movie,"Drama, Fantasy, Horror",121 min,True,50,18 Feb 2005,R,Constantine,"228,758","USA, Germany",2 wins & 9 nominations.,6.9,"75,500,759",http://ia.media-imdb.com/images/M/MV5BMTE5NDk5NTUyN15BMl5BanBnXkFtZTYwNzUyMDA3._V1_SX300.jpg,"English, Filipino, Tagalog","Keanu Reeves, Rachel Weisz, Shia LaBeouf, Djimon Hounsou",Francis Lawrence,Jamie Delano (comic book \,tt0360486
57070b7471a06507080fa45f,movie,"Drama, Horror, Thriller",119 min,True,46,09 Sep 2005,PG-13,The Exorcism of Emily Rose,"93,424",USA,4 wins & 8 nominations.,6.7,"3,055,982",http://ia.media-imdb.com/images/M/MV5BMTI2NTM5MjQ0Nl5BMl5BanBnXkFtZTcwNDAxNjAzMQ@@._V1_SX300.jpg,"English, Syriac, German, Greek, Hebrew, Latin, Aramaic","Laura Linney, Tom Wilkinson, Campbell Scott, Jennifer Carpenter",Scott Derrickson,"Paul Harris Boardman, Scott Derrickson",tt0404032
57070b7471a06507080fa460,movie,"Action, Crime, Drama",109 min,True,49,12 Aug 2005,R,Four Brothers,"106,752",USA,5 wins & 9 nominations.,6.9,"74,484,168",http://ia.media-imdb.com/images/M/MV5BMTU4NzM3Njg2NV5BMl5BanBnXkFtZTcwNjU4NDczMw@@._V1_SX300.jpg,English,"Mark Wahlberg, Tyrese Gibson, André Benjamin, Garrett Hedlund",John Singleton,"David Elliot, Paul Lovett",tt0430105
57070b7471a06507080fa461,movie,"Crime, Thriller",124 min,True,74,01 Apr 2005,R,Sin City,"640,086",USA,31 wins & 47 nominations.,8.1,"2,351,101",http://ia.media-imdb.com/images/M/MV5BMTI2NjUyMDUyMV5BMl5BanBnXkFtZTcwMzU0OTkyMQ@@._V1_SX300.jpg,English,"Jessica Alba, Devon Aoki, Alexis Bledel, Powers Boothe","Frank Miller, Robert Rodriguez, Quentin Tarantino",Frank Miller (graphic novels),tt0401792
57070b7471a06507080fa462,movie,"Mystery, Thriller",128 min,True,62,22 Apr 2005,PG-13,The Interpreter,"85,057","UK, France, Germany, USA",3 wins & 2 nominations.,6.4,"72,515,360",http://ia.media-imdb.com/images/M/MV5BMTg3MjMxNDUzNV5BMl5BanBnXkFtZTcwNTM2NzgyMQ@@._V1_SX300.jpg,"Aboriginal, English, French, Portuguese","Nicole Kidman, Sean Penn, Catherine Keener, Jesper Christensen",Sydney Pollack,"Martin Stellman (story, Brian Ward (story, Charles Randolph (screenplay, Scott Frank (screenplay, Steven Zaillian (screenplay)",tt0373926
57070b7471a06507080fa463,movie,"Comedy, Romance",105 min,True,49,25 Mar 2005,PG-13,Guess Who,"33,250",USA,16 nominations.,5.9,"10,732,175",http://ia.media-imdb.com/images/M/MV5BMTg0MjY3MTMzMl5BMl5BanBnXkFtZTcwNjc0NzgyMQ@@._V1_SX300.jpg,English,"Bernie Mac, Ashton Kutcher, Zoe Saldana, Judith Scott",Kevin Rodney Sullivan,William Rose (motion picture \,tt0372237
57070b7471a06507080fa464,movie,"Action, Adventure, Comedy",124 min,True,41,08 Apr 2005,PG-13,Sahara,"75,897","UK, Spain, Germany, USA",2 wins & 5 nominations.,6.0,"68,642,452",http://ia.media-imdb.com/images/M/MV5BMjExOTM4NDUzNV5BMl5BanBnXkFtZTcwOTgzNzczMw@@._V1_SX300.jpg,"English, French, Arabic","Matthew McConaughey, Steve Zahn, Penélope Cruz, William H. Macy",Breck Eisner,"Clive Cussler (novel, Thomas Dean Donnelly (screenplay, Joshua Oppenheimer (screenplay, John C. Richards (screenplay, James V. Hart (screenplay)",tt0318649
57070b7471a06507080fa465,movie,"Drama, Sport",136 min,True,57,14 Jan 2005,PG-13,Coach Carter,"89,845","USA, Germany",3 wins & 15 nominations.,7.2,"1,174,586",http://ia.media-imdb.com/images/M/MV5BMTIwMTc1MDQ1Nl5BMl5BanBnXkFtZTcwNDk3NzcyMQ@@._V1_SX300.jpg,English,"Samuel L. Jackson, Rob Brown, Robert Ri'chard, Rick Gonzalez",Thomas Carter,"Mark Schwahn, John Gatins",tt0393162
57070b7471a06507080fa466,movie,Documentary,23 min,True,N/A,21 Jun 2005,N/A,Herbie: Fully Loaded and Retooled,6,USA,N/A,6.5,,N/A,English,Lindsay Lohan,Sam Hurwitz,N/A,tt0987912
57070b7471a06507080fa467,movie,"Adventure, Comedy, Family",100 min,True,62,29 Jul 2005,PG,Sky High,"59,491",USA,1 nomination.,6.2,"97,696",http://ia.media-imdb.com/images/M/MV5BMTMzODg4MTc0NV5BMl5BanBnXkFtZTcwOTU0MzkzMQ@@._V1_SX300.jpg,"English, Cantonese","Michael Angarano, Kurt Russell, Kelly Preston, Danielle Panabaker",Mike Mitchell,"Paul Hernandez, Robert Schooley, Mark McCorkle",tt0405325
57070b7471a06507080fa468,movie,"Comedy, Fantasy, Romance",102 min,True,34,24 Jun 2005,PG-13,Bewitched,"57,948",USA,1 win & 13 nominations.,4.8,"2,096,756",http://ia.media-imdb.com/images/M/MV5BMTI0MjczNTU3OF5BMl5BanBnXkFtZTcwNjk3NzcyMQ@@._V1_SX300.jpg,"English, Spanish","Nicole Kidman, Will Ferrell, Shirley MacLaine, Michael Caine",Nora Ephron,"Nora Ephron, Delia Ephron, Sol Saks (television series)",tt0374536
57070b7471a06507080fa469,movie,"Action, Drama, War",125 min,True,58,04 Nov 2005,R,Jarhead,"140,483","Germany, USA",6 wins & 12 nominations.,7.1,"2,340,121",http://ia.media-imdb.com/images/M/MV5BMjAxNzUyOTM4MV5BMl5BanBnXkFtZTgwNjkxMzcxMTE@._V1_SX300.jpg,"English, Spanish, Arabic, Latin","Jake Gyllenhaal, Scott MacDonald, Peter Sarsgaard, Jamie Foxx",Sam Mendes,"William Broyles Jr. (screenplay, Anthony Swofford (book)",tt0418763
57070b7471a06507080fa46a,movie,"Biography, Drama, Sport",144 min,True,69,03 Jun 2005,PG-13,Cinderella Man,"144,997",USA,Nominated for 3 Oscars. Another 15 wins & 39 nominations.,8.0,"61,644,321",http://ia.media-imdb.com/images/M/MV5BMTI3OTg5NTkyOV5BMl5BanBnXkFtZTcwNjI4NzIzMQ@@._V1_SX300.jpg,English,"Russell Crowe, Renée Zellweger, Paul Giamatti, Craig Bierko",Ron Howard,"Cliff Hollingsworth (screenplay, Akiva Goldsman (screenplay, Cliff Hollingsworth (story)",tt0352248
57070b7471a06507080fa46b,movie,"Comedy, Drama, Romance",103 min,True,56,16 Dec 2005,PG-13,The Family Stone,"48,360",USA,Nominated for 1 Golden Globe. Another 3 wins & 7 nominations.,6.3,"6,061,759",http://ia.media-imdb.com/images/M/MV5BNTkwMjM4MjMxMV5BMl5BanBnXkFtZTcwNjM1OTQzMQ@@._V1_SX300.jpg,"English, American Sign Language","Claire Danes, Diane Keaton, Rachel McAdams, Dermot Mulroney",Thomas Bezucha,Thomas Bezucha,tt0356680
57070b7471a06507080fa46c,movie,"Mystery, Thriller",85 min,True,71,19 Aug 2005,PG-13,Red Eye,"92,120",USA,2 wins & 9 nominations.,6.5,"57,859,105",http://ia.media-imdb.com/images/M/MV5BNzAxNjc1ODczOF5BMl5BanBnXkFtZTcwMjE3MjEzMw@@._V1_SX300.jpg,"English, Russian","Rachel McAdams, Cillian Murphy, Brian Cox, Laura Johnson",Wes Craven,"Carl Ellsworth (screenplay, Carl Ellsworth (story, Dan Foos (story)",tt0421239
57070b7471a06507080fa46d,movie,"Drama, Romance",145 min,True,54,23 Dec 2005,PG-13,Memoirs of a Geisha,"117,096",USA,Won 3 Oscars. Another 26 wins & 40 nominations.,7.3,"213,303",http://ia.media-imdb.com/images/M/MV5BMTYxMzM4NTEzOV5BMl5BanBnXkFtZTcwNDMwNjQzMw@@._V1_SX300.jpg,"English, Japanese","Suzuka Ohgo, Togo Igawa, Mako, Samantha Futerman",Rob Marshall,"Robin Swicord (screenplay, Arthur Golden (book)",tt0397535
57070b7471a06507080fa46e,movie,"Drama, Horror, Mystery",101 min,True,30,07 Jan 2005,PG-13,White Noise,"41,152","UK, Canada, USA",1 win & 2 nominations.,5.5,"158,714",http://ia.media-imdb.com/images/M/MV5BMTc1OTA0NDQ1NV5BMl5BanBnXkFtZTcwNzM4Mjk2MQ@@._V1_SX300.jpg,English,"Michael Keaton, Chandra West, Deborah Kara Unger, Ian McNeice",Geoffrey Sax,Niall Johnson,tt0375210
57070b7471a06507080fa46f,movie,"Documentary, Short",N/A,True,N/A,07 Jul 2005,N/A,'Wallace and Gromit: The Curse of the Were-Rabbit': On the Set - Part 1,204,USA,N/A,7.2,,http://ia.media-imdb.com/images/M/MV5BNjJhZGE5MmQtMTExMS00ZGNlLTllMzMtZTZiZTM4MTgyNjk0XkEyXkFqcGdeQXVyMzQ4ODE4NDM@._V1_SX300.jpg,English,"Nick Park, Steve Box",Jacob Sager Weinstein,N/A,tt0476503
57070b7471a06507080fa470,movie,"Comedy, Crime, Music",118 min,True,37,04 Mar 2005,PG-13,Be Cool,"58,708",USA,1 win & 13 nominations.,5.7,"426,111",http://ia.media-imdb.com/images/M/MV5BMTUxNDc4MzAyNV5BMl5BanBnXkFtZTYwMzQ1NDc2._V1_SX300.jpg,"English, Russian","John Travolta, Uma Thurman, Vince Vaughn, Cedric the Entertainer",F. Gary Gray,"Elmore Leonard (novel, Peter Steinfeld (screenplay)",tt0377471
57070b7471a06507080fa471,movie,"Short, Action",10 min,True,N/A,16 Mar 2007,N/A,Crash,263,Spain,N/A,6.4,,http://ia.media-imdb.com/images/M/MV5BMmUwZjJhZjAtNTMzNy00NTNlLWE1NmEtMmZmNmU2MzU0MDllXkEyXkFqcGdeQXVyMzEwMDM2NDE@._V1_SX300.jpg,Spanish,"Bárbara Goenaga, Nacho Vigalondo, Medardo Amor, Sebastian Elices",Nacho Vigalondo,Nacho Vigalondo,tt0485877
57070b7471a06507080fa472,movie,"Animation, Action, Comedy",80 min,True,45,13 Jan 2006,PG,Hoodwinked!,"44,927",USA,1 nomination.,6.5,"4,272,822",http://ia.media-imdb.com/images/M/MV5BMTUxOTQxMTIyNl5BMl5BanBnXkFtZTcwOTAzNDEzMQ@@._V1_SX300.jpg,"English, Spanish","Anne Hathaway, Glenn Close, James Belushi, Patrick Warburton","Cory Edwards, Todd Edwards, Tony Leech","Cory Edwards (screenplay, Todd Edwards (screenplay, Tony Leech (screenplay, Todd Edwards (story, Cory Edwards (story)",tt0443536
57070b7471a06507080fa473,movie,"Horror, Mystery, Thriller",101 min,True,35,28 Jan 2005,R,Hide and Seek,"69,006","USA, Germany",1 win & 5 nominations.,5.9,"3,082,877",http://ia.media-imdb.com/images/M/MV5BMjA1MDkxNDY4OV5BMl5BanBnXkFtZTYwMzE4ODc3._V1_SX300.jpg,English,"Robert De Niro, Dakota Fanning, Famke Janssen, Elisabeth Shue",John Polson,Ari Schlossberg,tt0382077
57070b7471a06507080fa474,movie,"Adventure, Comedy, Sci-Fi",109 min,True,63,29 Apr 2005,PG,The Hitchhiker's Guide to the Galaxy,"152,031","USA, UK",1 win & 9 nominations.,6.8,"1,188,799",http://ia.media-imdb.com/images/M/MV5BMjEwOTk4NjU2MF5BMl5BanBnXkFtZTYwMDA3NzI3._V1_SX300.jpg,English,"Bill Bailey, Anna Chancellor, Warwick Davis, Yasiin Bey",Garth Jennings,"Douglas Adams (book, Douglas Adams (screenplay, Karey Kirkpatrick (screenplay)",tt0371724
57070b7471a06507080fa475,movie,"Drama, Thriller",128 min,True,76,09 Dec 2005,R,Syriana,"106,877","USA, United Arab Emirates",Won 1 Oscar. Another 13 wins & 27 nominations.,7.0,"50,815,288",http://ia.media-imdb.com/images/M/MV5BMjA2MTQwMTg0N15BMl5BanBnXkFtZTcwOTE5NjEzMQ@@._V1_SX300.jpg,"English, Urdu, Arabic, Persian, French, Mandarin","Kayvan Novak, George Clooney, Amr Waked, Christopher Plummer",Stephen Gaghan,"Stephen Gaghan, Robert Baer (book)",tt0365737
57070b7471a06507080fa476,movie,"Adventure, Comedy, Drama",102 min,True,43,14 Jan 2005,PG,Racing Stripes,"12,160",USA,3 nominations.,5.2,"321,559",http://ia.media-imdb.com/images/M/MV5BMjE0NDA2MTQwM15BMl5BanBnXkFtZTcwMzYxNDcyMQ@@._V1_SX300.jpg,English,"Bruce Greenwood, Hayden Panettiere, Caspar Poyck, Gary Bullock",Frederik Du Chau,"David Schmidt (story, Steven P. Wegner (story, Kirk De Micco (story, Frederik Du Chau (story, David Schmidt (screenplay)",tt0376105
