_id,Actors,imdbID,imdbRating,Language,Awards,Poster,imdbVotes,Director,Writer,Released,Box_office,Runtime,Rated,Type,Response,Country,Genre,Title,Metascore
570731d771a0650e3c561cc5,"Sam Worthington, Zoe Saldana, Sigourney Weaver, Stephen Lang",tt0499549,7.9,"English, Spanish",Won 3 Oscars. Another 77 wins & 114 nominations.,http://ia.media-imdb.com/images/M/MV5BMTYwOTEwNjAzMl5BMl5BanBnXkFtZTcwODc5MTUwMw@@._V1_SX300.jpg,"863,177",James Cameron,James Cameron,18 Dec 2009,"760,505,847",162 min,PG-13,movie,True,"USA, UK","Action, Adventure, Fantasy",Avatar,83
570731d771a0650e3c561cc6,"Shia LaBeouf, Megan Fox, Josh Duhamel, Tyrese Gibson",tt1055369,6.0,"English, Spanish",Nominated for 1 Oscar. Another 13 wins & 25 nominations.,http://ia.media-imdb.com/images/M/MV5BNjk4OTczOTk0NF5BMl5BanBnXkFtZTcwNjQ0NzMzMw@@._V1_SX300.jpg,"313,639",Michael Bay,"Ehren Kruger, Roberto Orci, Alex Kurtzman",24 Jun 2009,"402,076,689",150 min,PG-13,movie,True,USA,"Action, Adventure, Sci-Fi",Transformers: Revenge of the Fallen,35
570731d771a0650e3c561cc7,"Daniel Radcliffe, Michael Gambon, Dave Legeno, Elarica Johnson",tt0417741,7.5,English,Nominated for 1 Oscar. Another 8 wins & 29 nominations.,http://ia.media-imdb.com/images/M/MV5BNzU3NDg4NTAyNV5BMl5BanBnXkFtZTcwOTg2ODg1Mg@@._V1_SX300.jpg,"307,790",David Yates,"Steve Kloves (screenplay, J.K. Rowling (novel)",15 Jul 2009,"301,956,980",153 min,PG,movie,True,"UK, USA","Adventure, Family, Fantasy",Harry Potter and the Half-Blood Prince,78
570731d771a0650e3c561cc8,"Kristen Stewart, Christina Jastrzembska, Robert Pattinson, Billy Burke",tt1259571,4.6,"English, Italian",17 wins & 23 nominations.,http://ia.media-imdb.com/images/M/MV5BMTI3MjE3NDIxNF5BMl5BanBnXkFtZTcwODM3NTY5Mg@@._V1_SX300.jpg,"216,409",Chris Weitz,"Melissa Rosenberg (screenplay, Stephenie Meyer (novel)",20 Nov 2009,"296,623,634",130 min,PG-13,movie,True,USA,"Adventure, Drama, Fantasy",The Twilight Saga: New Moon,44
570731d771a0650e3c561cc9,"Edward Asner, Christopher Plummer, Jordan Nagai, Bob Peterson",tt1049413,8.3,English,Won 2 Oscars. Another 70 wins & 70 nominations.,http://ia.media-imdb.com/images/M/MV5BMTk3NDE2NzI4NF5BMl5BanBnXkFtZTgwNzE1MzEyMTE@._V1_SX300.jpg,"629,663","Pete Docter, Bob Peterson","Pete Docter (story, Bob Peterson (story, Tom McCarthy (story, Bob Peterson (screenplay, Pete Docter (screenplay)",29 May 2009,,96 min,PG,movie,True,USA,"Animation, Adventure, Comedy",Up,88
570731d771a0650e3c561cca,"Bradley Cooper, Ed Helms, Zach Galifianakis, Justin Bartha",tt1119646,7.8,English,Won 1 Golden Globe. Another 10 wins & 26 nominations.,http://ia.media-imdb.com/images/M/MV5BMTU1MDA1MTYwMF5BMl5BanBnXkFtZTcwMDcxMzA1Mg@@._V1_SX300.jpg,"565,978",Todd Phillips,"Jon Lucas, Scott Moore",05 Jun 2009,"277,313,371",100 min,R,movie,True,"USA, Germany",Comedy,The Hangover,73
570731d771a0650e3c561ccb,"Chris Pine, Zachary Quinto, Leonard Nimoy, Eric Bana",tt0796366,8.0,English,Won 1 Oscar. Another 22 wins & 78 nominations.,http://ia.media-imdb.com/images/M/MV5BMjE5NDQ5OTE4Ml5BMl5BanBnXkFtZTcwOTE3NDIzMw@@._V1_SX300.jpg,"489,087",J.J. Abrams,"Roberto Orci, Alex Kurtzman, Gene Roddenberry (television series \",08 May 2009,"257,704,099",127 min,PG-13,movie,True,"USA, Germany","Action, Adventure, Sci-Fi",Star Trek,82
570731d771a0650e3c561ccc,"Sandra Bullock, Tim McGraw, Quinton Aaron, Jae Head",tt0878804,7.7,English,Won 1 Oscar. Another 7 wins & 29 nominations.,http://ia.media-imdb.com/images/M/MV5BMjEzOTE3ODM3OF5BMl5BanBnXkFtZTcwMzYyODI4Mg@@._V1_SX300.jpg,"213,898",John Lee Hancock,"John Lee Hancock, Michael Lewis (book)",20 Nov 2009,"255,950,375",129 min,PG-13,movie,True,USA,"Biography, Drama, Sport",The Blind Side,53
570731d771a0650e3c561ccd,"Zachary Levi, David Cross, Jason Lee, Justin Long",tt1231580,4.5,"English, French",2 wins.,http://ia.media-imdb.com/images/M/MV5BMjI0NTc3MjU5M15BMl5BanBnXkFtZTcwODM4Nzg2Mg@@._V1_SX300.jpg,"30,381",Betty Thomas,"Jon Vitti, Jonathan Aibel, Glenn Berger, Ross Bagdasarian (characters Alvin and the Chipmunks)",23 Dec 2009,"219,613,391",88 min,PG,movie,True,USA,"Animation, Comedy, Family",Alvin and the Chipmunks: The Squeakquel,41
570731d771a0650e3c561cce,"Robert Downey Jr., Jude Law, Rachel McAdams, Mark Strong",tt0988045,7.6,"English, French",Nominated for 2 Oscars. Another 10 wins & 24 nominations.,http://ia.media-imdb.com/images/M/MV5BMTg0NjEwNjUxM15BMl5BanBnXkFtZTcwMzk0MjQ5Mg@@._V1_SX300.jpg,"464,420",Guy Ritchie,"Michael Robert Johnson (screenplay, Anthony Peckham (screenplay, Simon Kinberg (screenplay, Lionel Wigram (screen story, Michael Robert Johnson (screen story, Arthur Conan Doyle (characters: Sherlock Holmes,  Dr. Watson)",25 Dec 2009,"209,019,489",128 min,PG-13,movie,True,"USA, Germany","Action, Adventure, Crime",Sherlock Holmes,57
570731d771a0650e3c561ccf,"Eunice Cho, Karen Disher, Harrison Fahn, Maile Flanagan",tt1080016,7.0,English,1 win & 12 nominations.,http://ia.media-imdb.com/images/M/MV5BMjA4NDI0Mjg4NV5BMl5BanBnXkFtZTcwOTM1NTY0Mg@@._V1_SX300.jpg,"158,655","Carlos Saldanha, Mike Thurmeier","Peter Ackerman (screenplay, Michael Berg (screenplay, Yoni Brenner (screenplay, Jason Carter Eaton (story, Mike Reiss (screenplay)",01 Jul 2009,"196,573,705",94 min,PG,movie,True,USA,"Animation, Action, Adventure",Ice Age: Dawn of the Dinosaurs,50
570731d771a0650e3c561cd0,"Hugh Jackman, Liev Schreiber, Danny Huston, Will.i.am",tt0458525,6.7,English,3 wins & 13 nominations.,http://ia.media-imdb.com/images/M/MV5BMTI2MTgyNjExM15BMl5BanBnXkFtZTcwNzU4MjkyMg@@._V1_SX300.jpg,"345,253",Gavin Hood,"David Benioff (screenplay, Skip Woods (screenplay)",01 May 2009,"179,883,016",107 min,PG-13,movie,True,"USA, UK","Action, Adventure, Sci-Fi",X-Men Origins: Wolverine,40
570731d771a0650e3c561cd1,"Ben Stiller, Amy Adams, Owen Wilson, Hank Azaria",tt1078912,5.9,English,2 wins & 9 nominations.,http://ia.media-imdb.com/images/M/MV5BMjAzMzc0MzM3MF5BMl5BanBnXkFtZTcwNjUzODkyMg@@._V1_SX300.jpg,"125,238",Shawn Levy,"Robert Ben Garant, Thomas Lennon, Robert Ben Garant (characters, Thomas Lennon (characters)",22 May 2009,"177,243,721",105 min,PG,movie,True,"USA, Canada","Action, Adventure, Comedy",Night at the Museum: Battle of the Smithsonian,42
570731d771a0650e3c561cd2,"John Cusack, Amanda Peet, Chiwetel Ejiofor, Thandie Newton",tt1190080,5.8,"English, French, Tibetan, Mandarin, Russian, Hindi, Portuguese, Latin, Italian",4 wins & 20 nominations.,http://ia.media-imdb.com/images/M/MV5BMTY0MjEyODQzMF5BMl5BanBnXkFtZTcwMTczMjQ4Mg@@._V1_SX300.jpg,"273,246",Roland Emmerich,"Roland Emmerich, Harald Kloser",13 Nov 2009,"166,112,167",158 min,PG-13,movie,True,USA,"Action, Adventure, Sci-Fi",2012,49
570731d771a0650e3c561cd3,"Sandra Bullock, Ryan Reynolds, Mary Steenburgen, Craig T. Nelson",tt1041829,6.7,English,Nominated for 1 Golden Globe. Another 7 wins & 18 nominations.,http://ia.media-imdb.com/images/M/MV5BMTU1MzY1ODIyNV5BMl5BanBnXkFtZTcwNDU4NTE3Mg@@._V1_SX300.jpg,"218,277",Anne Fletcher,Pete Chiarelli,19 Jun 2009,"163,947,053",108 min,PG-13,movie,True,USA,"Comedy, Drama, Romance",The Proposal,48
570731d771a0650e3c561cd4,"Adewale Akinnuoye-Agbaje, Christopher Eccleston, Grégory Fitoussi, Joseph Gordon-Levitt",tt1046173,5.8,"English, French, Scottish Gaelic",3 wins & 14 nominations.,http://ia.media-imdb.com/images/M/MV5BMTQzMTU1NzQwNl5BMl5BanBnXkFtZTcwNDg4NzMzMw@@._V1_SX300.jpg,"170,530",Stephen Sommers,"Stuart Beattie (screenplay, David Elliot (screenplay, Paul Lovett (screenplay, Michael Gordon (story, Stuart Beattie (story, Stephen Sommers (story)",07 Aug 2009,"150,167,630",118 min,PG-13,movie,True,"USA, Czech Republic","Action, Adventure, Sci-Fi",G.I. Joe: The Rise of Cobra,32
570731d771a0650e3c561cd5,"Kevin James, Keir O'Donnell, Jayma Mays, Raini Rodriguez",tt1114740,5.2,English,1 win & 3 nominations.,http://ia.media-imdb.com/images/M/MV5BMTM2NzA1MzE1NF5BMl5BanBnXkFtZTcwOTYyNDIzMg@@._V1_SX300.jpg,"82,237",Steve Carr,"Kevin James, Nick Bakay",16 Jan 2009,"20,819,129",91 min,PG,movie,True,USA,"Action, Comedy, Crime",Paul Blart: Mall Cop,39
570731d771a0650e3c561cd6,"Phoebe Bourdon, Maeve Dufault, John Hadden, Gerry Lehane",tt1391871,5.7,English,N/A,http://ia.media-imdb.com/images/M/MV5BMTcxMTY1NzA0OV5BMl5BanBnXkFtZTcwNTgzMjM0Mg@@._V1_SX300.jpg,10,"Jason Brown, John Hadden",Jason Brown,N/A,,24 min,N/A,movie,True,USA,Short,Taken,N/A
570731d771a0650e3c561cd7,"Alexia Aleman, Blaine Moir, Robin Sydney, Stephen DeWitt White",tt1521673,N/A,English,N/A,N/A,N/A,"Josh Martinez, Joshua Martinez","Alexia Aleman (story, Alexia Aleman",N/A,,3 min,N/A,movie,True,USA,"Short, Drama, Fantasy",Angels,N/A
570731d771a0650e3c561cd8,"Christian Bale, Sam Worthington, Moon Bloodgood, Helena Bonham Carter",tt0438488,6.6,"English, Italian",2 wins & 9 nominations.,http://ia.media-imdb.com/images/M/MV5BODE1MTM1MzA2NF5BMl5BanBnXkFtZTcwODQ5MTA2Mg@@._V1_SX300.jpg,"278,072",McG,"John D. Brancato, Michael Ferris",21 May 2009,"125,320,003",115 min,PG-13,movie,True,"USA, Germany, UK, Italy","Action, Sci-Fi",Terminator Salvation,49
570731d771a0650e3c561cd9,"Bill Hader, Anna Faris, James Caan, Andy Samberg",tt0844471,7.0,"English, French, Russian",Nominated for 1 Golden Globe. Another 1 win & 12 nominations.,http://ia.media-imdb.com/images/M/MV5BMTg0MjAwNDI5MV5BMl5BanBnXkFtZTcwODkyMzg2Mg@@._V1_SX300.jpg,"145,683","Phil Lord, Christopher Miller","Phil Lord (written for the screen by, Christopher Miller (written for the screen by, Judi Barrett (book, Ron Barrett (book, Rob Greenberg (additional screenplay material)",18 Sep 2009,"124,870,275",90 min,PG,movie,True,USA,"Animation, Comedy, Family",Cloudy with a Chance of Meatballs,66
570731d771a0650e3c561cda,"Brad Pitt, Mélanie Laurent, Christoph Waltz, Eli Roth",tt0361748,8.3,"English, German, French, Italian",Won 1 Oscar. Another 117 wins & 143 nominations.,http://ia.media-imdb.com/images/M/MV5BMjIzMDI4MTUzOV5BMl5BanBnXkFtZTcwNDY3NjA3Mg@@._V1_SX300.jpg,"846,206","Quentin Tarantino, Eli Roth",Quentin Tarantino,21 Aug 2009,"120,523,073",153 min,R,movie,True,"USA, Germany","Adventure, Drama, War",Inglourious Basterds,69
570731d771a0650e3c561cdb,"Bill Nighy, Will Arnett, Zach Galifianakis, Kelli Garner",tt0436339,5.1,English,1 win & 1 nomination.,http://ia.media-imdb.com/images/M/MV5BMTM4NTY3MzY2MV5BMl5BanBnXkFtZTcwMDQ1NTM2Mg@@._V1_SX300.jpg,"32,069",Hoyt Yeatman,"Cormac Wibberley (screenplay, Marianne Wibberley (screenplay, Hoyt Yeatman (story, David P.I. James (story)",24 Jul 2009,"119,420,252",88 min,PG,movie,True,USA,"Action, Adventure, Comedy",G-Force,41
570731d771a0650e3c561cdc,"Sharlto Copley, Jason Cope, Nathalie Boltt, Sylvaine Strike",tt1136608,8.0,"English, Nyanja, Afrikaans, Zulu, Xhosa, Southern Sotho",Nominated for 4 Oscars. Another 23 wins & 99 nominations.,http://ia.media-imdb.com/images/M/MV5BMTM4OTI1OTM5NF5BMl5BanBnXkFtZTcwMzk5MTU1Mg@@._V1_SX300.jpg,"517,074",Neill Blomkamp,"Neill Blomkamp, Terri Tatchell",14 Aug 2009,"115,646,235",112 min,R,movie,True,"USA, New Zealand, Canada, South Africa","Action, Sci-Fi",District 9,81
570731d771a0650e3c561cdd,"Meryl Streep, Steve Martin, Alec Baldwin, John Krasinski",tt1230414,6.6,"English, French",Nominated for 3 Golden Globes. Another 6 wins & 13 nominations.,http://ia.media-imdb.com/images/M/MV5BMjQ0NjM2NTI4N15BMl5BanBnXkFtZTcwNjQ2MDc5Mg@@._V1_SX300.jpg,"68,199",Nancy Meyers,Nancy Meyers,25 Dec 2009,"112,703,470",120 min,R,movie,True,"USA, Japan","Comedy, Romance",It's Complicated,57
570731d771a0650e3c561cde,"Vince Vaughn, Jason Bateman, Faizon Love, Jon Favreau",tt1078940,5.5,English,1 win & 4 nominations.,http://ia.media-imdb.com/images/M/MV5BMTQxMjI1Nzc0M15BMl5BanBnXkFtZTcwMTc0Mzg2Mg@@._V1_SX300.jpg,"81,759",Peter Billingsley,"Jon Favreau, Vince Vaughn, Dana Fox",09 Oct 2009,"109,176,215",113 min,PG-13,movie,True,USA,Comedy,Couples Retreat,23
570731d771a0650e3c561cdf,"Malin Akerman, Billy Crudup, Matthew Goode, Jackie Earle Haley",tt0409459,7.6,English,12 wins & 20 nominations.,http://ia.media-imdb.com/images/M/MV5BMTc0NjI2OTYxMF5BMl5BanBnXkFtZTcwMTcxMjkyMg@@._V1_SX300.jpg,"370,121",Zack Snyder,"David Hayter (screenplay, Alex Tse (screenplay, Dave Gibbons (graphic novel illustrator)",06 Mar 2009,"107,503,316",162 min,R,movie,True,USA,"Action, Mystery, Sci-Fi",Watchmen,56
570731d771a0650e3c561ce0,"Anika Noni Rose, Bruno Campos, Keith David, Michael-Leon Wooley",tt0780521,7.2,"English, French",Nominated for 3 Oscars. Another 12 wins & 36 nominations.,http://ia.media-imdb.com/images/M/MV5BMjEyOTQ5NzAzNl5BMl5BanBnXkFtZTcwMTcyNTU1Mg@@._V1_SX300.jpg,"85,757","Ron Clements, John Musker","Ron Clements (story, John Musker (story, Greg Erb (story, Jason Oremland (story, Ron Clements (screenplay, John Musker (screenplay, Rob Edwards (screenplay, E.D. Baker (story)",11 Dec 2009,,97 min,G,movie,True,USA,"Animation, Family, Fantasy",The Princess and the Frog,73
570731d771a0650e3c561ce1,"David Wenham, Christian Stolte, Jason Clarke, Johnny Depp",tt1152836,7.0,English,1 win & 14 nominations.,http://ia.media-imdb.com/images/M/MV5BMjA3NDI0NzM2MV5BMl5BanBnXkFtZTcwODk5MTk2Mg@@._V1_SX300.jpg,"225,603",Michael Mann,"Ronan Bennett (screenplay, Michael Mann (screenplay, Ann Biderman (screenplay, Bryan Burrough (book)",01 Jul 2009,"97,030,725",140 min,R,movie,True,"USA, Japan","Biography, Crime, Drama",Public Enemies,70
570731d771a0650e3c561ce2,Craig Colligan,tt1764406,N/A,English,N/A,N/A,N/A,Ilana Rein,N/A,01 Dec 2009,,24 min,N/A,movie,True,USA,"Documentary, Short, Biography",Julie,N/A
570731d771a0650e3c561ce3,"Morgan Lily, Trenton Rogers, Michelle Carmichael, Jasmine Woods",tt1001508,6.4,English,1 win & 3 nominations.,http://ia.media-imdb.com/images/M/MV5BMTY5MTUyNDgwMF5BMl5BanBnXkFtZTcwNzYzMDQyMg@@._V1_SX300.jpg,"128,518",Ken Kwapis,"Abby Kohn, Marc Silverstein, Greg Behrendt (book, Liz Tuccillo (book)",06 Feb 2009,"93,952,276",129 min,PG-13,movie,True,"USA, Germany, Netherlands","Comedy, Drama, Romance",He's Just Not That Into You,47
570731d771a0650e3c561ce4,"Katherine Heigl, Gerard Butler, Bree Turner, Eric Winter",tt1142988,6.5,English,3 wins & 4 nominations.,http://ia.media-imdb.com/images/M/MV5BMTM2MTM2OTUwNl5BMl5BanBnXkFtZTcwNTgwNTE0Mg@@._V1_SX300.jpg,"158,571",Robert Luketic,"Nicole Eastman (screenplay, Karen McCullah (screenplay, Kirsten Smith (screenplay, Nicole Eastman (story)",24 Jul 2009,"88,915,214",96 min,R,movie,True,USA,"Comedy, Romance",The Ugly Truth,28
570731d771a0650e3c561ce5,"George Clooney, Vera Farmiga, Anna Kendrick, Jason Bateman",tt1193138,7.5,English,Nominated for 6 Oscars. Another 74 wins & 143 nominations.,http://ia.media-imdb.com/images/M/MV5BMTI3MzYxMTA4NF5BMl5BanBnXkFtZTcwMDE4ODg3Mg@@._V1_SX300.jpg,"264,602",Jason Reitman,"Walter Kirn (novel, Jason Reitman (screenplay, Sheldon Turner (screenplay)",23 Dec 2009,"83,813,460",109 min,R,movie,True,USA,"Drama, Romance",Up in the Air,83
570731d771a0650e3c561ce6,"Nicolas Cage, Chandler Canterbury, Rose Byrne, Lara Robinson",tt0448011,6.2,English,1 win & 5 nominations.,http://ia.media-imdb.com/images/M/MV5BMTMyMjgyMDIyM15BMl5BanBnXkFtZTcwNjg3MjAyMg@@._V1_SX300.jpg,"182,811",Alex Proyas,"Ryne Douglas Pearson (screenplay, Juliet Snowden (screenplay, Stiles White (screenplay, Ryne Douglas Pearson (story)",20 Mar 2009,"79,948,113",121 min,PG-13,movie,True,"USA, UK, Australia","Drama, Mystery, Sci-Fi",Knowing,41
570731d771a0650e3c561ce7,"Miley Cyrus, Billy Ray Cyrus, Emily Osment, Jason Earles",tt1114677,4.1,English,6 wins & 10 nominations.,http://ia.media-imdb.com/images/M/MV5BMTkxNjUxODY3NF5BMl5BanBnXkFtZTcwMjQyMzMzMg@@._V1_SX300.jpg,"30,902",Peter Chelsom,"Dan Berendsen, Michael Poryes (characters, Rich Correll (characters, Barry O'Brien (characters)",10 Apr 2009,"79,566,871",102 min,G,movie,True,USA,"Comedy, Drama, Family",Hannah Montana: The Movie,47
570731d771a0650e3c561ce8,"Max Records, Pepita Emmerichs, Max Pfeifer, Madeleine Greaves",tt0386117,6.8,English,Nominated for 1 Golden Globe. Another 7 wins & 44 nominations.,http://ia.media-imdb.com/images/M/MV5BNzQ1NzAwODEwM15BMl5BanBnXkFtZTcwNTE4MjI4Mg@@._V1_SX300.jpg,"86,153",Spike Jonze,"Spike Jonze (screenplay, Dave Eggers (screenplay, Maurice Sendak (book)",16 Oct 2009,"77,222,184",101 min,PG,movie,True,"Germany, Australia, USA","Adventure, Drama, Family",Where the Wild Things Are,71
570731d771a0650e3c561ce9,"Jesse Eisenberg, Woody Harrelson, Emma Stone, Abigail Breslin",tt1156398,7.7,English,9 wins & 26 nominations.,http://ia.media-imdb.com/images/M/MV5BMTU5MDg0NTQ1N15BMl5BanBnXkFtZTcwMjA4Mjg3Mg@@._V1_SX300.jpg,"371,818",Ruben Fleischer,"Rhett Reese, Paul Wernick",02 Oct 2009,"75,590,286",88 min,R,movie,True,USA,"Adventure, Comedy, Horror",Zombieland,73
570731d771a0650e3c561cea,"Dakota Fanning, Teri Hatcher, Jennifer Saunders, Dawn French",tt0327597,7.7,"English, Russian",Nominated for 1 Oscar. Another 7 wins & 39 nominations.,http://ia.media-imdb.com/images/M/MV5BMzQxNjM5NzkxNV5BMl5BanBnXkFtZTcwMzg5NDMwMg@@._V1_SX300.jpg,"138,399",Henry Selick,"Henry Selick (screenplay, Neil Gaiman (book)",06 Feb 2009,,100 min,PG,movie,True,USA,"Animation, Fantasy",Coraline,80
570731d771a0650e3c561ceb,"Jamie Foxx, Gerard Butler, Colm Meaney, Bruce McGill",tt1197624,7.4,English,2 wins & 5 nominations.,http://ia.media-imdb.com/images/M/MV5BMTMyODY1NTg1N15BMl5BanBnXkFtZTcwMTUyODI4Mg@@._V1_SX300.jpg,"210,781",F. Gary Gray,Kurt Wimmer,16 Oct 2009,"73,343,413",109 min,R,movie,True,USA,"Crime, Drama, Thriller",Law Abiding Citizen,34
570731d771a0650e3c561cec,"Emma Roberts, Jake T. Austin, Don Cheadle, Johnny Simmons",tt0785006,5.4,English,2 wins & 2 nominations.,http://ia.media-imdb.com/images/M/MV5BMTI5NjkxOTE5MF5BMl5BanBnXkFtZTcwMTcxNTAwMg@@._V1_SX300.jpg,"15,682",Thor Freudenthal,"Jeff Lowell (screenplay, Robert Schooley (screenplay, Mark McCorkle (screenplay, Lois Duncan (book)",16 Jan 2009,"73,023,275",100 min,PG,movie,True,"USA, Germany","Comedy, Family",Hotel for Dogs,51
570731d771a0650e3c561ced,"Paul Rudd, Rashida Jones, Sarah Burns, Greg Levine",tt1155056,7.1,English,1 win & 8 nominations.,http://ia.media-imdb.com/images/M/MV5BMTU4MjI5NTEyNV5BMl5BanBnXkFtZTcwNjQ1NTMzMg@@._V1_SX300.jpg,"162,496",John Hamburg,"John Hamburg (screenplay, Larry Levin (screenplay, Larry Levin (story)",20 Mar 2009,"71,347,010",105 min,R,movie,True,USA,"Comedy, Romance","I Love You, Man",70
